0.3499999, 0, 0, 5, 0.9712372, 0, 672.4567, -1501.829, -4.456496, 0.008331402, 0.1029945, 36.33662, 1.897572, 1.576823, 9.647517
 
0.3599999, -0.1819018, 0, 5, 0.9725591, 0.921796172370792788226, 711.8564, -1502.2, -4.456496, 0.008331402, 0.1029945, 37.38662, 1.897572, 1.576455, 9.65101
 
0.3699999, -0.1863122, -0.001819018, 5, 0.9737951, 0.897042899567180504067, 752.4337, -1502.572, -4.456496, 0.008331402, 0.1029945, 38.43811, 1.897572, 1.576086, 9.654503
 
0.3799999, -0.1906908, -0.00368214, 5, 0.9751192, 0.873441794862136546226, 794.1921, -1502.944, -4.456496, 0.008331402, 0.1029945, 39.49105, 1.897572, 1.575718, 9.657995
 
0.3899999, -0.1950321, -0.005589048, 5, 0.9763574, 0.850891981019823890474, 837.1354, -1503.317, -4.456496, 0.008331402, 0.1029945, 40.54545, 1.897572, 1.57535, 9.661489
 
0.3999999, -0.1993299, -0.007539369, 5, 0.9776838, 0.8293017514622097121171639423, 881.2661, -1503.69, -4.456496, 0.008331402, 0.1029945, 41.60125, 1.897572, 1.574982, 9.664981
 
0.4099999, -0.2035782, -0.009532668, 5, 0.978924, 0.808590237661389102214, 926.5892, -1504.064, -4.456496, 0.008331402, 0.1029945, 42.65846, 1.897572, 1.574614, 9.668474
 
0.4199999, -0.2077703, -0.01156845, 5, 0.9802092, 0.7886818233752949907987, 973.107, -1504.438, -4.456496, 0.008331402, 0.1029945, 43.71705, 1.897572, 1.574245, 9.671967
 
0.4299999, -0.2118994, -0.01364615, 5, 0.9815384, 0.7695097295411947620202, 1020.825, -1504.812, -4.456496, 0.008331402, 0.1029945, 44.77703, 1.897572, 1.573877, 9.67546
 
0.4399998, -0.215958, -0.01576515, 5, 0.9827821, 0.7510111788379427233026360577, 1069.745, -1505.187, -4.456496, 0.008331402, 0.1029945, 45.83838, 1.897572, 1.573509, 9.678952
 
0.4499998, -0.2199387, -0.01792473, 5, 0.9840702, 0.7331311473187211807005, 1119.871, -1505.563, -4.456496, 0.008331402, 0.1029945, 46.90107, 1.897572, 1.573141, 9.682446
 
0.4599998, -0.2238336, -0.02012412, 5, 0.9853597, 0.7158177790821295853213360577, 1171.206, -1505.938, -4.456496, 0.008331402, 0.1029945, 47.96511, 1.897572, 1.572773, 9.685938
 
0.4699998, -0.2276343, -0.02236245, 5, 0.9866501, 0.6990243037733741061709, 1223.755, -1506.314, -4.456496, 0.008331402, 0.1029945, 49.03049, 1.897572, 1.572405, 9.689431
 
0.4799998, -0.2313324, -0.02463879, 5, 0.9879417, 0.682707119083078057308, 1277.521, -1506.691, -4.456496, 0.008331402, 0.1029945, 50.09719, 1.897572, 1.572037, 9.692924
 
0.4899998, -0.2349183, -0.02695212, 5, 0.9892343, 0.6668258741169074627372, 1332.509, -1507.068, -4.456496, 0.008331402, 0.1029945, 51.16522, 1.897572, 1.571668, 9.696417
 
0.4999998, -0.2383832, -0.0293013, 5, 0.9905279, 0.6513453868967431216345360577, 1388.719, -1507.445, -4.456496, 0.008331402, 0.1029945, 52.23455, 1.897572, 1.5713, 9.699909
 
0.5099998, -0.241717, -0.03168513, 5, 0.9918226, 0.6362307255533183506654, 1446.156, -1507.823, -4.456496, 0.008331402, 0.1029945, 53.30516, 1.897572, 1.570932, 9.703403
 
0.5199998, -0.2447323, -0.0341023, 5.050711, 0.9931186, 0.6214520437639606789509360577, 1504.825, -1508.201, -4.456496, 0.008331402, 0.1029945, 54.3771, 1.897572, 1.570564, 9.706895
 
0.5299998, -0.2474532, -0.03654962, 5.132866, 0.9943717, 0.6069796619452370936514, 1564.729, -1508.58, -4.456496, 0.008331402, 0.1029945, 55.45032, 1.897572, 1.570196, 9.710388
 
0.5399998, -0.2499712, -0.03902416, 5.215235, 0.9957138, 0.5927866517110497558056, 1625.87, -1508.959, -4.456496, 0.008331402, 0.1029945, 56.52482, 1.897572, 1.569828, 9.713881
 
