# Arcturus (Up to date)
# 3227 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (20.3 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0.36225,6.3527,36.169,104.52
0.37225,6.7196,37.215,104.64
0.38225,7.097,38.262,104.76
0.39225,7.4849,39.31,104.88
0.40225,7.8832,40.359,105
0.41225,8.2921,41.41,105.12
0.42225,8.7114,42.461,105.23
0.43225,9.1413,43.514,105.35
0.44225,9.5817,44.568,105.47
0.45225,10.033,45.623,105.59
0.46225,10.494,46.68,105.71
0.47225,10.966,47.737,105.82
0.48225,11.449,48.796,105.94
0.49225,11.942,49.856,106.06
0.50225,12.446,50.917,106.17
0.51225,12.961,51.979,106.29
0.52225,13.486,53.042,106.41
0.53225,14.021,54.107,106.52
0.54225,14.568,55.173,106.64
0.55225,15.125,56.24,106.75
0.56225,15.693,57.307,106.87
0.57225,16.271,58.377,106.98
0.58225,16.86,59.447,107.1
0.59225,17.46,60.518,107.21
0.60225,18.071,61.591,107.32
0.61225,18.692,62.665,107.44
0.62225,19.324,63.739,107.55
0.63225,19.967,64.815,107.67
0.64225,20.62,65.893,107.78
0.65225,21.284,66.971,107.89
0.66225,21.96,68.05,108
0.67225,22.645,69.131,108.12
0.68225,23.342,70.212,108.23
0.69225,24.05,71.295,108.34
0.70225,24.768,72.379,108.45
0.71225,25.497,73.464,108.56
0.72225,26.237,74.55,108.67
0.73225,26.988,75.637,108.79
0.74225,27.75,76.725,108.9
0.75225,28.523,77.815,109.01
0.76225,29.306,78.905,109.12
0.77225,30.101,79.997,109.23
0.78225,30.906,81.089,109.34
0.79225,31.723,82.183,109.45
0.80225,32.55,83.278,109.55
0.81225,33.388,84.374,109.66
0.82225,34.237,85.471,109.77
0.83225,35.098,86.569,109.88
0.84225,35.969,87.668,109.99
0.85225,36.851,88.769,110.09
0.86225,37.744,89.87,110.2
0.87225,38.648,90.972,110.31
0.88225,39.564,92.076,110.42
0.89225,40.49,93.18,110.52
0.90225,41.427,94.286,110.63
0.91225,42.376,95.393,110.73
0.92225,43.335,96.5,110.84
0.93225,44.306,97.609,110.95
0.94225,45.287,98.719,111.05
0.95225,46.28,99.83,111.16
0.96225,47.284,100.94,111.26
0.97225,48.299,102.05,111.36
0.98225,49.325,103.17,111.47
0.99225,50.362,104.28,111.57
1.0023,51.411,105.4,111.67
1.0123,52.47,106.52,111.78
1.0223,53.541,107.63,111.88
1.0323,54.623,108.75,111.98
1.0423,55.716,109.87,112.08
1.0523,56.82,110.99,112.19
1.0623,57.936,112.12,112.29
1.0723,59.063,113.24,112.39
1.0823,60.201,114.36,112.49
1.0923,61.35,115.49,112.59
1.1023,62.51,116.61,112.69
1.1123,63.682,117.74,112.67
1.1223,64.865,118.87,112.59
1.1323,66.059,119.99,112.5
1.1423,67.265,121.12,112.41
1.1523,68.482,122.24,112.33
1.1623,69.71,123.37,112.24
1.1723,70.949,124.49,112.15
1.1823,72.2,125.61,112.06
1.1923,73.461,126.73,111.97
1.2023,74.734,127.85,111.88
1.2123,76.018,128.97,111.79
1.2223,77.313,130.09,111.7
1.2323,78.62,131.2,111.61
1.2423,79.937,132.32,111.52
1.2523,81.266,133.44,111.43
1.2623,82.606,134.55,111.34
1.2723,83.957,135.66,111.24
1.2823,85.319,136.77,111.15
1.2923,86.692,137.89,111.06
1.3023,88.077,139,110.96
1.3123,89.472,140.11,110.87
1.3223,90.879,141.21,110.77
1.3323,92.296,142.32,110.68
1.3423,93.725,143.43,110.58
1.3523,95.165,144.53,110.48
1.3623,96.615,145.64,110.38
1.3723,98.077,146.74,110.29
1.3823,99.55,147.84,110.19
1.3923,101.03,148.95,110.09
1.4023,102.53,150.05,109.99
1.4123,104.03,151.15,109.89
1.4223,105.55,152.24,109.79
1.4323,107.08,153.34,109.69
1.4423,108.62,154.44,109.58
1.4523,110.17,155.53,109.45
1.4623,111.73,156.63,109.29
1.4723,113.3,157.72,109.13
1.4823,114.88,158.81,108.97
1.4923,116.48,159.9,108.81
1.5023,118.08,160.99,108.65
1.5123,119.7,162.08,108.48
1.5223,121.32,163.16,108.32
1.5323,122.96,164.24,108.15
1.5423,124.61,165.33,107.99
1.5523,126.26,166.4,107.82
1.5623,127.93,167.48,107.66
1.5723,129.61,168.56,107.49
1.5823,131.3,169.63,107.32
1.5923,133.01,170.71,107.15
1.6023,134.72,171.78,106.99
1.6123,136.44,172.85,106.82
1.6223,138.17,173.92,106.65
1.6323,139.92,174.98,106.48
1.6423,141.67,176.05,106.3
1.6523,143.44,177.11,106.13
1.6623,145.22,178.17,105.96
1.6723,147,179.23,105.79
1.6823,148.8,180.29,105.62
1.6923,150.61,181.35,105.44
1.7023,152.43,182.4,105.27
1.7123,154.25,183.45,105.09
1.7223,156.09,184.5,104.92
1.7323,157.94,185.55,104.74
1.7423,159.8,186.6,104.56
1.7523,161.68,187.65,104.39
1.7623,163.56,188.69,104.21
1.7723,165.45,189.73,104.03
1.7823,167.35,190.77,103.84
1.7923,169.26,191.81,103.64
1.8023,171.19,192.85,103.44
1.8123,173.12,193.88,103.23
1.8223,175.06,194.92,103.03
1.8323,177.02,195.95,102.82
1.8423,178.98,196.97,102.62
1.8523,180.96,198,102.41
1.8623,182.94,199.03,102.2
1.8723,184.94,200.05,101.99
1.8823,186.94,201.07,101.78
1.8923,188.96,202.09,101.57
1.9023,190.98,203.1,101.37
1.9123,193.02,204.12,101.16
1.9223,195.06,205.13,100.95
1.9323,197.12,206.14,100.74
1.9423,199.19,207.14,100.53
1.9523,201.26,208.15,100.31
1.9623,203.35,209.15,100.1
1.9723,205.44,210.15,99.889
1.9823,207.55,211.15,99.676
1.9923,209.67,212.15,99.463
2.0023,211.79,213.14,99.249
2.0123,213.93,214.14,99.034
2.0223,216.08,215.13,98.82
2.0323,218.23,216.12,98.604
2.0423,220.4,217.1,98.388
2.0523,222.57,218.09,98.172
2.0622,224.76,219.07,97.955
2.0722,226.95,220.05,97.738
2.0822,229.16,221.02,97.52
2.0922,231.37,222,97.301
2.1022,233.6,222.97,97.082
2.1122,235.83,223.94,96.863
2.1222,238.08,224.91,96.643
2.1322,240.33,225.88,96.423
2.1422,242.59,226.84,96.202
2.1522,244.86,227.81,95.981
2.1622,247.15,228.77,95.759
2.1722,249.44,229.72,95.537
2.1822,251.74,230.68,95.314
2.1922,254.05,231.63,95.091
2.2022,256.37,232.58,94.867
2.2122,258.7,233.53,94.642
2.2222,261.04,234.48,94.418
2.2322,263.39,235.42,94.192
2.2422,265.75,236.36,93.967
2.2522,268.12,237.3,93.74
2.2622,270.5,238.24,93.514
2.2722,272.88,239.18,93.287
2.2822,275.28,240.11,93.059
2.2922,277.68,241.04,92.831
2.3022,280.1,241.97,92.603
2.3122,282.52,242.89,92.374
2.3222,284.95,243.82,92.144
2.3322,287.4,244.74,91.914
2.3422,289.85,245.66,91.684
2.3522,292.31,246.57,91.453
2.3622,294.78,247.49,91.222
2.3722,297.26,248.4,90.99
2.3822,299.75,249.31,90.758
2.3922,302.24,250.22,90.525
2.4022,304.75,251.12,90.292
2.4122,307.26,252.02,90.058
2.4222,309.79,252.92,89.824
2.4322,312.32,253.82,89.589
2.4422,314.86,254.72,89.354
2.4522,317.42,255.61,89.118
2.4622,319.98,256.5,88.882
2.4722,322.54,257.39,88.646
2.4822,325.12,258.28,88.409
2.4922,327.71,259.16,88.172
2.5022,330.3,260.04,87.934
2.5122,332.91,260.92,87.695
2.5222,335.52,261.8,87.457
2.5322,338.14,262.67,87.218
2.5422,340.77,263.55,86.978
2.5522,343.41,264.42,86.738
2.5622,346.06,265.28,86.498
2.5722,348.72,266.15,86.257
2.5822,351.38,267.01,86.016
2.5922,354.06,267.87,85.775
2.6022,356.74,268.73,85.427
2.6122,359.43,269.58,84.204
2.6222,362.13,270.42,82.784
2.6322,364.84,271.25,81.362
2.6422,367.55,272.07,79.939
2.6522,370.28,272.87,78.517
2.6622,373.01,273.65,77.094
2.6722,375.75,274.42,75.532
2.6822,378.5,275.18,73.203
2.6922,381.25,275.91,70.752
2.7022,384.01,276.62,68.296
2.7122,386.78,277.3,65.842
2.7222,389.56,277.96,63.389
2.7322,392.34,278.59,60.938
2.7422,395.13,279.2,58.488
2.7522,397.92,279.78,56.039
2.7622,400.72,280.34,53.592
2.7722,403.53,280.88,51.146
2.7822,406.34,281.39,48.701
2.7922,409.15,281.88,46.259
2.8022,411.97,282.34,43.817
2.8122,414.8,282.78,41.377
2.8222,417.63,283.19,38.939
2.8322,420.46,283.58,36.503
2.8422,423.3,283.95,34.068
2.8522,426.14,284.29,31.635
2.8622,428.98,284.6,29.204
2.8722,431.83,284.9,26.775
2.8822,434.68,285.16,24.348
2.8922,437.53,285.41,21.923
2.9022,440.39,285.63,19.5
2.9122,443.24,285.82,17.08
2.9222,446.1,285.99,14.663
2.9322,448.96,286.14,12.249
2.9422,451.82,286.26,9.8409
2.9522,454.68,286.36,7.4404
2.9622,457.55,286.43,5.0566
2.9722,460.41,286.48,2.7286
2.9822,463.28,286.51,0.97955
2.9922,466.14,286.51,2.467
3.0022,469.01,286.49,4.7752
3.0122,471.87,286.44,7.1478
3.0222,474.73,286.37,9.535
3.0322,477.59,286.27,11.927
3.0422,480.46,286.15,14.321
3.0522,483.32,286.01,16.672
3.0622,486.18,285.84,17.869
3.0722,489.03,285.67,18.552
3.0822,491.89,285.48,19.233
3.0922,494.74,285.29,19.914
3.1022,497.59,285.09,20.594
3.1122,500.44,284.88,21.274
3.1222,503.29,284.67,21.954
3.1322,506.13,284.45,22.633
3.1422,508.98,284.23,23.311
3.1522,511.82,283.99,23.99
