# Arcturus (Up to date)
# 3227 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (20.3 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
6.3822,1315.7,217.67,17.458
6.3922,1317.9,217.49,17.443
6.4022,1320.1,217.32,17.428
6.4122,1322.2,217.14,17.412
6.4222,1324.4,216.97,17.397
6.4322,1326.6,216.8,17.382
6.4422,1328.8,216.62,17.367
6.4522,1330.9,216.45,17.353
6.4622,1333.1,216.28,17.338
6.4722,1335.2,216.1,17.324
6.4822,1337.4,215.93,17.309
6.4922,1339.6,215.76,17.295
6.5022,1341.7,215.58,17.28
6.5122,1343.9,215.41,17.266
6.5222,1346,215.24,17.251
6.5322,1348.2,215.07,17.237
6.5422,1350.3,214.89,17.223
6.5522,1352.5,214.72,17.208
6.5622,1354.6,214.55,17.194
6.5722,1356.8,214.38,17.18
6.5822,1358.9,214.21,17.166
6.5922,1361,214.03,17.152
6.6022,1363.2,213.86,17.138
6.6122,1365.3,213.69,17.124
6.6222,1367.5,213.52,17.11
6.6322,1369.6,213.35,17.096
6.6422,1371.7,213.18,17.082
6.6522,1373.9,213.01,17.068
6.6622,1376,212.84,17.054
6.6722,1378.1,212.67,17.041
6.6822,1380.2,212.5,17.027
6.6922,1382.4,212.33,17.013
6.7022,1384.5,212.16,16.999
6.7122,1386.6,211.99,16.986
6.7222,1388.7,211.82,16.972
6.7322,1390.8,211.65,16.959
6.7422,1392.9,211.48,16.945
6.7522,1395.1,211.31,16.932
6.7622,1397.2,211.14,16.918
6.7722,1399.3,210.97,16.905
6.7822,1401.4,210.8,16.892
6.7922,1403.5,210.63,16.878
6.8022,1405.6,210.46,16.865
6.8122,1407.7,210.29,16.852
6.8222,1409.8,210.13,16.839
6.8322,1411.9,209.96,16.826
6.8422,1414,209.79,16.813
6.8522,1416.1,209.62,16.801
6.8622,1418.2,209.45,16.788
6.8722,1420.3,209.29,16.775
6.8822,1422.4,209.12,16.762
6.8922,1424.5,208.95,16.749
6.9022,1426.6,208.78,16.736
6.9122,1428.6,208.62,16.723
6.9222,1430.7,208.45,16.71
6.9322,1432.8,208.28,16.698
6.9422,1434.9,208.11,16.685
6.9522,1437,207.95,16.672
6.9622,1439.1,207.78,16.659
6.9722,1441.1,207.61,16.645
6.9822,1443.2,207.45,16.632
6.9922,1445.3,207.28,16.618
7.0022,1447.3,207.12,16.605
7.0122,1449.4,206.95,16.592
7.0222,1451.5,206.78,16.578
7.0322,1453.6,206.62,16.565
7.0422,1455.6,206.45,16.552
7.0522,1457.7,206.29,16.539
7.0622,1459.7,206.12,16.526
7.0722,1461.8,205.96,16.513
7.0822,1463.9,205.79,16.499
7.0922,1465.9,205.63,16.486
7.1022,1468,205.46,16.474
7.1122,1470,205.3,16.461
7.1222,1472.1,205.13,16.448
7.1322,1474.1,204.97,16.436
7.1422,1476.2,204.8,16.423
7.1522,1478.2,204.64,16.41
7.1622,1480.3,204.48,16.398
7.1722,1482.3,204.31,16.385
7.1822,1484.4,204.15,16.373
7.1922,1486.4,203.98,16.36
7.2022,1488.4,203.82,16.348
7.2122,1490.5,203.66,16.335
7.2222,1492.5,203.49,16.322
7.2322,1494.5,203.33,16.31
7.2422,1496.6,203.17,16.297
7.2522,1498.6,203.01,16.285
7.2622,1500.6,202.84,16.272
7.2722,1502.7,202.68,16.26
7.2822,1504.7,202.52,16.248
7.2922,1506.7,202.36,16.235
7.3022,1508.7,202.19,16.223
7.3122,1510.7,202.03,16.21
7.3222,1512.8,201.87,16.198
7.3322,1514.8,201.71,16.186
7.3422,1516.8,201.55,16.174
7.3522,1518.8,201.38,16.161
7.3622,1520.8,201.22,16.149
7.3722,1522.8,201.06,16.137
7.3822,1524.8,200.9,16.125
7.3922,1526.8,200.74,16.113
7.4022,1528.9,200.58,16.101
7.4122,1530.9,200.42,16.089
7.4222,1532.9,200.25,16.077
7.4322,1534.9,200.09,16.065
7.4422,1536.9,199.93,16.054
7.4522,1538.9,199.77,16.042
7.4622,1540.9,199.61,16.03
7.4722,1542.9,199.45,16.018
7.4822,1544.8,199.29,16.006
7.4922,1546.8,199.13,15.995
7.5022,1548.8,198.97,15.983
7.5122,1550.8,198.81,15.971
7.5222,1552.8,198.65,15.96
7.5322,1554.8,198.49,15.948
7.5422,1556.8,198.33,15.937
7.5522,1558.8,198.17,15.925
7.5622,1560.7,198.02,15.914
7.5722,1562.7,197.86,15.902
7.5822,1564.7,197.7,15.891
7.5922,1566.7,197.54,15.879
7.6022,1568.6,197.38,15.868
7.6122,1570.6,197.22,15.856
7.6222,1572.6,197.06,15.845
7.6322,1574.6,196.9,15.834
7.6422,1576.5,196.75,15.822
7.6522,1578.5,196.59,15.811
7.6622,1580.5,196.43,15.8
7.6722,1582.4,196.27,15.789
7.6822,1584.4,196.11,15.778
7.6922,1586.3,195.96,15.767
7.7022,1588.3,195.8,15.756
7.7122,1590.2,195.64,15.745
7.7222,1592.2,195.48,15.734
7.7322,1594.2,195.33,15.722
7.7422,1596.1,195.17,15.711
7.7522,1598.1,195.01,15.7
7.7622,1600,194.86,15.689
7.7722,1602,194.7,15.679
7.7822,1603.9,194.54,15.668
7.7922,1605.8,194.39,15.657
7.8022,1607.8,194.23,15.646
7.8122,1609.7,194.07,15.635
7.8222,1611.7,193.92,15.623
7.8322,1613.6,193.76,15.612
7.8422,1615.5,193.6,15.601
7.8522,1617.5,193.45,15.59
7.8622,1619.4,193.29,15.579
7.8722,1621.3,193.14,15.568
7.8822,1623.3,192.98,15.558
7.8922,1625.2,192.83,15.547
7.9022,1627.1,192.67,15.536
7.9122,1629.1,192.52,15.525
7.9222,1631,192.36,15.514
7.9322,1632.9,192.2,15.503
7.9422,1634.8,192.05,15.492
7.9522,1636.7,191.89,15.481
7.9622,1638.7,191.74,15.47
7.9722,1640.6,191.59,15.459
7.9822,1642.5,191.43,15.448
7.9922,1644.4,191.28,15.437
8.0022,1646.3,191.12,15.427
8.0122,1648.2,190.97,15.416
8.0222,1650.1,190.81,15.406
8.0322,1652,190.66,15.395
8.0422,1653.9,190.51,15.385
8.0522,1655.8,190.35,15.374
8.0622,1657.7,190.2,15.364
8.0722,1659.6,190.05,15.353
8.0822,1661.5,189.89,15.343
8.0922,1663.4,189.74,15.332
8.1022,1665.3,189.59,15.321
8.1122,1667.2,189.43,15.311
8.1222,1669.1,189.28,15.301
8.1322,1671,189.13,15.291
8.1422,1672.9,188.97,15.281
8.1522,1674.8,188.82,15.27
8.1622,1676.7,188.67,15.26
8.1722,1678.6,188.52,15.249
8.1822,1680.5,188.36,15.239
8.1922,1682.3,188.21,15.229
8.2022,1684.2,188.06,15.218
8.2122,1686.1,187.91,15.208
8.2222,1688,187.75,15.197
8.2322,1689.8,187.6,15.187
8.2422,1691.7,187.45,15.177
8.2522,1693.6,187.3,15.167
8.2622,1695.5,187.15,15.156
8.2722,1697.3,187,15.146
8.2822,1699.2,186.84,15.136
8.2922,1701.1,186.69,15.126
8.3022,1702.9,186.54,15.116
8.3122,1704.8,186.39,15.106
8.3222,1706.7,186.24,15.096
8.3322,1708.5,186.09,15.086
8.3422,1710.4,185.94,15.076
8.3522,1712.2,185.79,15.066
8.3622,1714.1,185.64,15.056
8.3722,1716,185.49,15.046
8.3822,1717.8,185.34,15.036
8.3922,1719.7,185.19,15.026
8.4022,1721.5,185.04,15.017
8.4122,1723.4,184.88,15.007
8.4222,1725.2,184.73,14.997
8.4322,1727.1,184.58,14.987
8.4422,1728.9,184.44,14.977
8.4522,1730.7,184.29,14.967
8.4622,1732.6,184.14,14.958
8.4722,1734.4,183.99,14.948
8.4822,1736.3,183.84,14.938
8.4922,1738.1,183.69,14.928
8.5022,1739.9,183.54,14.919
8.5122,1741.8,183.39,14.909
8.5222,1743.6,183.24,14.9
8.5322,1745.4,183.09,14.89
8.5422,1747.3,182.94,14.881
8.5522,1749.1,182.79,14.871
8.5622,1750.9,182.64,14.862
8.5722,1752.7,182.5,14.852
8.5822,1754.6,182.35,14.843
8.5922,1756.4,182.2,14.833
8.6022,1758.2,182.05,14.824
8.6122,1760,181.9,14.815
8.6222,1761.8,181.75,14.806
8.6322,1763.7,181.61,14.797
8.6422,1765.5,181.46,14.787
8.6522,1767.3,181.31,14.778
8.6622,1769.1,181.16,14.769
8.6722,1770.9,181.02,14.759
8.6822,1772.7,180.87,14.75
8.6922,1774.5,180.72,14.74
8.7022,1776.3,180.57,14.731
8.7122,1778.1,180.43,14.722
8.7222,1779.9,180.28,14.713
8.7322,1781.7,180.13,14.704
8.7422,1783.5,179.99,14.695
8.7522,1785.3,179.84,14.686
8.7622,1787.1,179.69,14.677
8.7722,1788.9,179.54,14.667
8.7822,1790.7,179.4,14.658
8.7922,1792.5,179.25,14.649
8.8022,1794.3,179.11,14.64
8.8122,1796.1,178.96,14.631
8.8222,1797.9,178.81,14.622
8.8322,1799.7,178.67,14.613
8.8422,1801.5,178.52,14.604
8.8522,1803.2,178.37,14.595
8.8622,1805,178.23,14.586
8.8722,1806.8,178.08,14.577
8.8822,1808.6,177.94,14.568
8.8922,1810.4,177.79,14.559
8.9022,1812.1,177.65,14.55
8.9122,1813.9,177.5,14.541
8.9222,1815.7,177.35,14.532
8.9322,1817.5,177.21,14.523
8.9422,1819.2,177.06,14.515
8.9522,1821,176.92,14.506
8.9622,1822.8,176.77,14.497
8.9722,1824.5,176.63,14.488
8.9822,1826.3,176.48,14.479
8.9922,1828.1,176.34,14.47
9.0022,1829.8,176.2,14.461
9.0122,1831.6,176.05,14.452
9.0222,1833.4,175.91,14.443
9.0322,1835.1,175.76,14.434
9.0422,1836.9,175.62,14.426
9.0522,1838.6,175.47,14.417
9.0622,1840.4,175.33,14.408
9.0722,1842.1,175.19,14.4
9.0822,1843.9,175.04,14.391
9.0922,1845.6,174.9,14.382
9.1022,1847.4,174.75,14.374
9.1122,1849.1,174.61,14.365
9.1222,1850.9,174.47,14.356
9.1322,1852.6,174.32,14.348
9.1422,1854.3,174.18,14.339
9.1522,1856.1,174.04,14.33
9.1622,1857.8,173.89,14.322
9.1722,1859.6,173.75,14.313
9.1822,1861.3,173.61,14.305
9.1922,1863,173.46,14.296
9.2022,1864.8,173.32,14.288
9.2122,1866.5,173.18,14.28
9.2222,1868.2,173.04,14.271
9.2322,1870,172.89,14.263
9.2422,1871.7,172.75,14.255
9.2522,1873.4,172.61,14.247
9.2622,1875.1,172.47,14.238
9.2722,1876.9,172.32,14.23
9.2822,1878.6,172.18,14.221
9.2922,1880.3,172.04,14.213
9.3022,1882,171.9,14.204
9.3122,1883.7,171.75,14.196
9.3222,1885.5,171.61,14.188
9.3322,1887.2,171.47,14.179
9.3422,1888.9,171.33,14.171
9.3522,1890.6,171.19,14.163
9.3622,1892.3,171.05,14.155
9.3722,1894,170.9,14.147
9.3822,1895.7,170.76,14.139
9.3922,1897.4,170.62,14.131
9.4022,1899.1,170.48,14.123
9.4122,1900.8,170.34,14.115
9.4222,1902.5,170.2,14.107
9.4322,1904.2,170.06,14.098
9.4422,1905.9,169.92,14.09
9.4522,1907.6,169.78,14.082
9.4622,1909.3,169.63,14.074
9.4722,1911,169.49,14.066
9.4822,1912.7,169.35,14.057
9.4922,1914.4,169.21,14.049
9.5022,1916.1,169.07,14.041
9.5122,1917.8,168.93,14.033
9.5222,1919.5,168.79,14.025
9.5322,1921.2,168.65,14.017
9.5422,1922.9,168.51,14.009
9.5522,1924.5,168.37,14.001
9.5622,1926.2,168.23,13.993
9.5722,1927.9,168.09,13.985
9.5822,1929.6,167.95,13.976
9.5922,1931.3,167.81,13.968
9.6022,1932.9,167.67,13.96
9.6122,1934.6,167.53,13.952
9.6222,1936.3,167.39,13.944
9.6322,1938,167.25,13.936
9.6422,1939.6,167.11,13.928
9.6522,1941.3,166.98,13.92
9.6622,1943,166.84,13.913
9.6722,1944.6,166.7,13.905
9.6822,1946.3,166.56,13.898
9.6922,1948,166.42,13.89
9.7022,1949.6,166.28,13.883
9.7122,1951.3,166.14,13.875
9.7222,1953,166,13.868
9.7322,1954.6,165.86,13.86
9.7422,1956.3,165.73,13.853
9.7522,1957.9,165.59,13.846
9.7622,1959.6,165.45,13.838
9.7722,1961.2,165.31,13.83
9.7822,1962.9,165.17,13.822
9.7922,1964.5,165.03,13.814
9.8022,1966.2,164.9,13.806
9.8122,1967.8,164.76,13.799
9.8222,1969.5,164.62,13.791
9.8322,1971.1,164.48,13.783
9.8422,1972.8,164.34,13.775
9.8522,1974.4,164.21,13.767
9.8622,1976.1,164.07,13.759
9.8722,1977.7,163.93,13.752
9.8822,1979.3,163.79,13.744
9.8922,1981,163.66,13.737
9.9022,1982.6,163.52,13.729
9.9122,1984.2,163.38,13.721
9.9222,1985.9,163.25,13.714
9.9322,1987.5,163.11,13.706
9.9422,1989.1,162.97,13.699
9.9522,1990.8,162.83,13.691
9.9622,1992.4,162.7,13.684
9.9722,1994,162.56,13.676
9.9822,1995.6,162.42,13.669
9.9922,1997.3,162.29,13.661
10.002,1998.9,162.15,13.654
10.012,2000.5,162.01,13.646
10.022,2002.1,161.88,13.639
10.032,2003.7,161.74,13.632
10.042,2005.4,161.6,13.625
10.052,2007,161.47,13.618
10.062,2008.6,161.33,13.61
10.072,2010.2,161.2,13.603
10.082,2011.8,161.06,13.595
10.092,2013.4,160.92,13.588
10.102,2015,160.79,13.58
10.112,2016.6,160.65,13.573
10.122,2018.2,160.52,13.566
10.132,2019.8,160.38,13.559
10.142,2021.4,160.25,13.551
10.152,2023,160.11,13.544
10.162,2024.6,159.98,13.537
10.172,2026.2,159.84,13.53
10.182,2027.8,159.7,13.523
10.192,2029.4,159.57,13.516
10.202,2031,159.43,13.509
10.212,2032.6,159.3,13.501
10.222,2034.2,159.16,13.494
10.232,2035.8,159.03,13.487
10.242,2037.4,158.89,13.48
10.252,2039,158.76,13.473
10.262,2040.6,158.63,13.466
10.272,2042.2,158.49,13.459
10.282,2043.7,158.36,13.452
10.292,2045.3,158.22,13.445
10.302,2046.9,158.09,13.438
10.312,2048.5,157.95,13.431
10.322,2050.1,157.82,13.425
10.332,2051.6,157.68,13.418
10.342,2053.2,157.55,13.411
10.352,2054.8,157.42,13.404
10.362,2056.4,157.28,13.397
10.372,2057.9,157.15,13.391
10.382,2059.5,157.01,13.384
10.392,2061.1,156.88,13.377
10.402,2062.6,156.75,13.37
10.412,2064.2,156.61,13.364
10.422,2065.8,156.48,13.357
10.432,2067.3,156.35,13.35
10.442,2068.9,156.21,13.344
10.452,2070.5,156.08,13.337
10.462,2072,155.95,13.331
10.472,2073.6,155.81,13.324
10.482,2075.1,155.68,13.318
10.492,2076.7,155.55,13.311
10.502,2078.2,155.41,13.305
10.512,2079.8,155.28,13.298
10.522,2081.3,155.15,13.291
10.532,2082.9,155.01,13.285
10.542,2084.4,154.88,13.278
10.552,2086,154.75,13.271
10.562,2087.5,154.62,13.265
10.572,2089.1,154.48,13.258
10.582,2090.6,154.35,13.252
10.592,2092.2,154.22,13.246
10.602,2093.7,154.09,13.239
10.612,2095.2,153.95,13.232
10.622,2096.8,153.82,13.225
10.632,2098.3,153.69,13.219
10.642,2099.9,153.56,13.212
10.652,2101.4,153.43,13.205
10.662,2102.9,153.29,13.198
10.672,2104.5,153.16,13.192
10.682,2106,153.03,13.185
10.692,2107.5,152.9,13.179
10.702,2109,152.77,13.172
10.712,2110.6,152.63,13.165
10.722,2112.1,152.5,13.159
10.732,2113.6,152.37,13.152
10.742,2115.1,152.24,13.146
10.752,2116.7,152.11,13.139
10.762,2118.2,151.98,13.132
10.772,2119.7,151.85,13.126
10.782,2121.2,151.71,13.119
10.792,2122.7,151.58,13.112
10.802,2124.2,151.45,13.105
10.812,2125.8,151.32,13.099
10.822,2127.3,151.19,13.092
10.832,2128.8,151.06,13.086
10.842,2130.3,150.93,13.079
10.852,2131.8,150.8,13.073
10.862,2133.3,150.67,13.066
10.872,2134.8,150.54,13.06
10.882,2136.3,150.41,13.053
10.892,2137.8,150.28,13.047
10.902,2139.3,150.15,13.04
10.912,2140.8,150.02,13.034
10.922,2142.3,149.88,13.027
10.932,2143.8,149.75,13.021
10.942,2145.3,149.62,13.015
10.952,2146.8,149.49,13.009
10.962,2148.3,149.36,13.003
10.972,2149.8,149.23,12.997
10.982,2151.3,149.1,12.991
10.992,2152.8,148.97,12.985
11.002,2154.3,148.84,12.979
11.012,2155.8,148.71,12.972
11.022,2157.2,148.59,12.966
11.032,2158.7,148.46,12.959
11.042,2160.2,148.33,12.953
11.052,2161.7,148.2,12.947
11.062,2163.2,148.07,12.941
11.072,2164.6,147.94,12.935
11.082,2166.1,147.81,12.929
11.092,2167.6,147.68,12.923
11.102,2169.1,147.55,12.916
11.112,2170.6,147.42,12.91
11.122,2172,147.29,12.904
11.132,2173.5,147.16,12.898
11.142,2175,147.03,12.892
11.152,2176.4,146.91,12.886
11.162,2177.9,146.78,12.88
11.172,2179.4,146.65,12.874
11.182,2180.8,146.52,12.867
11.192,2182.3,146.39,12.861
11.202,2183.8,146.26,12.855
11.212,2185.2,146.13,12.849
11.222,2186.7,146,12.843
11.232,2188.1,145.88,12.837
11.242,2189.6,145.75,12.831
11.252,2191.1,145.62,12.825
11.262,2192.5,145.49,12.819
11.272,2194,145.36,12.814
11.282,2195.4,145.24,12.808
11.292,2196.9,145.11,12.802
11.302,2198.3,144.98,12.796
11.312,2199.8,144.85,12.791
11.322,2201.2,144.72,12.785
11.332,2202.7,144.6,12.779
11.342,2204.1,144.47,12.774
11.352,2205.5,144.34,12.768
11.362,2207,144.21,12.762
11.372,2208.4,144.08,12.756
11.382,2209.9,143.96,12.751
11.392,2211.3,143.83,12.745
11.402,2212.7,143.7,12.739
11.412,2214.2,143.58,12.733
11.422,2215.6,143.45,12.728
11.432,2217.1,143.32,12.722
11.442,2218.5,143.19,12.716
11.452,2219.9,143.07,12.711
11.462,2221.3,142.94,12.705
11.472,2222.8,142.81,12.7
11.482,2224.2,142.69,12.695
11.492,2225.6,142.56,12.69
11.502,2227,142.43,12.684
11.512,2228.5,142.3,12.679
11.522,2229.9,142.18,12.673
11.532,2231.3,142.05,12.668
11.542,2232.7,141.92,12.662
11.552,2234.2,141.8,12.656
11.562,2235.6,141.67,12.651
11.572,2237,141.55,12.646
11.582,2238.4,141.42,12.64
11.592,2239.8,141.29,12.635
11.602,2241.2,141.17,12.63
11.612,2242.6,141.04,12.624
11.622,2244,140.91,12.619
11.632,2245.4,140.79,12.614
11.642,2246.9,140.66,12.609
11.652,2248.3,140.54,12.603
11.662,2249.7,140.41,12.598
11.672,2251.1,140.28,12.592
11.682,2252.5,140.16,12.587
11.692,2253.9,140.03,12.581
11.702,2255.3,139.91,12.576
11.712,2256.7,139.78,12.57
11.722,2258.1,139.66,12.565
11.732,2259.5,139.53,12.559
11.742,2260.9,139.4,12.553
11.752,2262.2,139.28,12.548
11.762,2263.6,139.15,12.542
11.772,2265,139.03,12.537
11.782,2266.4,138.9,12.532
11.792,2267.8,138.78,12.527
11.802,2269.2,138.65,12.521
11.812,2270.6,138.53,12.515
11.822,2272,138.4,12.509
11.832,2273.3,138.28,12.503
11.842,2274.7,138.15,12.497
11.852,2276.1,138.03,12.491
11.862,2277.5,137.9,12.486
11.872,2278.9,137.78,12.48
11.882,2280.2,137.65,12.474
11.892,2281.6,137.53,12.469
11.902,2283,137.4,12.463
11.912,2284.4,137.28,12.457
11.922,2285.7,137.15,12.452
11.932,2287.1,137.03,12.446
11.942,2288.5,136.91,12.441
11.952,2289.8,136.78,12.435
11.962,2291.2,136.66,12.43
11.972,2292.6,136.53,12.424
11.982,2293.9,136.41,12.419
11.992,2295.3,136.28,12.414
12.002,2296.7,136.16,12.408
12.012,2298,136.04,12.403
12.022,2299.4,135.91,12.397
12.032,2300.7,135.79,12.392
12.042,2302.1,135.66,12.386
12.052,2303.4,135.54,12.381
12.062,2304.8,135.42,12.376
12.072,2306.2,135.29,12.371
12.082,2307.5,135.17,12.366
12.092,2308.9,135.05,12.361
12.102,2310.2,134.92,12.356
12.112,2311.6,134.8,12.351
12.122,2312.9,134.67,12.345
12.132,2314.2,134.55,12.34
12.142,2315.6,134.43,12.335
12.152,2316.9,134.3,12.329
12.162,2318.3,134.18,12.324
12.172,2319.6,134.06,12.319
12.182,2321,133.94,12.315
12.192,2322.3,133.81,12.31
12.202,2323.6,133.69,12.305
12.212,2325,133.57,12.299
12.222,2326.3,133.44,12.294
12.232,2327.6,133.32,12.289
12.242,2329,133.2,12.284
12.252,2330.3,133.07,12.279
12.262,2331.6,132.95,12.274
12.272,2333,132.83,12.268
12.282,2334.3,132.71,12.263
12.292,2335.6,132.58,12.258
12.302,2336.9,132.46,12.253
12.312,2338.3,132.34,12.248
12.322,2339.6,132.22,12.243
12.332,2340.9,132.09,12.238
12.342,2342.2,131.97,12.234
12.352,2343.5,131.85,12.229
12.362,2344.9,131.73,12.224
12.372,2346.2,131.6,12.219
12.382,2347.5,131.48,12.214
12.392,2348.8,131.36,12.209
12.402,2350.1,131.24,12.204
12.412,2351.4,131.12,12.199
12.422,2352.7,130.99,12.194
12.432,2354,130.87,12.19
12.442,2355.4,130.75,12.185
12.452,2356.7,130.63,12.18
12.462,2358,130.51,12.175
12.472,2359.3,130.39,12.17
12.482,2360.6,130.26,12.165
12.492,2361.9,130.14,12.16
12.502,2363.2,130.02,12.155
12.512,2364.5,129.9,12.15
12.522,2365.8,129.78,12.146
12.532,2367.1,129.66,12.141
12.542,2368.4,129.54,12.136
12.552,2369.7,129.41,12.132
12.562,2370.9,129.29,12.127
12.572,2372.2,129.17,12.122
12.582,2373.5,129.05,12.118
12.592,2374.8,128.93,12.113
12.602,2376.1,128.81,12.109
12.612,2377.4,128.69,12.104
12.622,2378.7,128.57,12.099
12.632,2380,128.44,12.094
12.642,2381.2,128.32,12.089
12.652,2382.5,128.2,12.085
12.662,2383.8,128.08,12.08
12.672,2385.1,127.96,12.075
12.682,2386.4,127.84,12.071
12.692,2387.6,127.72,12.066
12.702,2388.9,127.6,12.061
12.712,2390.2,127.48,12.057
12.722,2391.5,127.36,12.052
12.732,2392.7,127.24,12.048
12.742,2394,127.12,12.044
12.752,2395.3,127,12.039
12.762,2396.6,126.88,12.034
12.772,2397.8,126.76,12.03
12.782,2399.1,126.64,12.025
12.792,2400.3,126.52,12.02
12.802,2401.6,126.4,12.016
12.812,2402.9,126.28,12.012
12.822,2404.1,126.16,12.008
12.832,2405.4,126.04,12.003
12.842,2406.7,125.92,11.999
12.852,2407.9,125.8,11.995
12.862,2409.2,125.68,11.99
12.872,2410.4,125.56,11.985
12.882,2411.7,125.44,11.981
12.892,2412.9,125.32,11.976
12.902,2414.2,125.2,11.971
12.912,2415.4,125.08,11.966
12.922,2416.7,124.96,11.962
12.932,2417.9,124.84,11.957
12.942,2419.2,124.72,11.953
12.952,2420.4,124.6,11.948
12.962,2421.7,124.48,11.944
12.972,2422.9,124.36,11.939
12.982,2424.2,124.24,11.934
12.992,2425.4,124.12,11.93
13.002,2426.6,124,11.925
13.012,2427.9,123.88,11.921
13.022,2429.1,123.76,11.917
13.032,2430.4,123.64,11.912
13.042,2431.6,123.53,11.908
13.052,2432.8,123.41,11.903
13.062,2434.1,123.29,11.899
13.072,2435.3,123.17,11.895
13.082,2436.5,123.05,11.891
13.092,2437.7,122.93,11.887
13.102,2439,122.81,11.883
13.112,2440.2,122.69,11.879
13.122,2441.4,122.57,11.875
13.132,2442.7,122.46,11.871
13.142,2443.9,122.34,11.866
13.152,2445.1,122.22,11.862
13.162,2446.3,122.1,11.858
13.172,2447.5,121.98,11.854
13.182,2448.8,121.86,11.85
13.192,2450,121.74,11.846
13.202,2451.2,121.63,11.842
13.212,2452.4,121.51,11.837
13.222,2453.6,121.39,11.833
13.232,2454.8,121.27,11.828
13.242,2456,121.15,11.824
13.252,2457.3,121.04,11.819
13.262,2458.5,120.92,11.815
13.272,2459.7,120.8,11.81
13.282,2460.9,120.68,11.805
13.292,2462.1,120.56,11.801
13.302,2463.3,120.45,11.796
13.312,2464.5,120.33,11.792
13.322,2465.7,120.21,11.788
13.332,2466.9,120.09,11.784
13.342,2468.1,119.97,11.78
13.352,2469.3,119.86,11.775
13.362,2470.5,119.74,11.771
13.372,2471.7,119.62,11.766
13.382,2472.9,119.5,11.762
13.392,2474.1,119.39,11.757
13.402,2475.3,119.27,11.753
13.412,2476.5,119.15,11.748
13.422,2477.7,119.03,11.744
13.432,2478.8,118.92,11.74
13.442,2480,118.8,11.736
13.452,2481.2,118.68,11.731
13.462,2482.4,118.56,11.727
13.472,2483.6,118.45,11.723
13.482,2484.8,118.33,11.719
13.492,2485.9,118.21,11.715
13.502,2487.1,118.1,11.711
13.512,2488.3,117.98,11.707
13.522,2489.5,117.86,11.703
13.532,2490.7,117.74,11.699
13.542,2491.8,117.63,11.694
13.552,2493,117.51,11.69
13.562,2494.2,117.39,11.686
13.572,2495.4,117.28,11.682
13.582,2496.5,117.16,11.678
13.592,2497.7,117.04,11.674
13.602,2498.9,116.93,11.67
13.612,2500,116.81,11.665
13.622,2501.2,116.69,11.661
13.632,2502.4,116.58,11.657
13.642,2503.5,116.46,11.653
13.652,2504.7,116.34,11.649
13.662,2505.9,116.23,11.645
13.672,2507,116.11,11.641
13.682,2508.2,115.99,11.637
13.692,2509.3,115.88,11.633
13.702,2510.5,115.76,11.63
13.712,2511.7,115.65,11.626
13.722,2512.8,115.53,11.622
13.732,2514,115.41,11.618
13.742,2515.1,115.3,11.614
13.752,2516.3,115.18,11.61
13.762,2517.4,115.06,11.606
13.772,2518.6,114.95,11.602
13.782,2519.7,114.83,11.598
13.792,2520.9,114.72,11.594
13.802,2522,114.6,11.591
13.812,2523.2,114.49,11.587
13.822,2524.3,114.37,11.583
13.832,2525.4,114.25,11.579
13.842,2526.6,114.14,11.575
13.852,2527.7,114.02,11.572
13.862,2528.9,113.91,11.568
13.872,2530,113.79,11.564
13.882,2531.1,113.68,11.56
13.892,2532.3,113.56,11.556
13.902,2533.4,113.44,11.553
13.912,2534.5,113.33,11.549
13.922,2535.7,113.21,11.545
13.932,2536.8,113.1,11.541
13.942,2537.9,112.98,11.537
13.952,2539.1,112.87,11.534
13.962,2540.2,112.75,11.53
13.972,2541.3,112.64,11.526
13.982,2542.4,112.52,11.522
13.992,2543.6,112.41,11.518
14.002,2544.7,112.29,11.514
14.012,2545.8,112.18,11.51
14.022,2546.9,112.06,11.506
14.032,2548.1,111.95,11.502
14.042,2549.2,111.83,11.498
14.052,2550.3,111.72,11.495
14.062,2551.4,111.6,11.491
14.072,2552.5,111.49,11.487
14.082,2553.6,111.37,11.483
14.092,2554.7,111.26,11.479
14.102,2555.9,111.14,11.476
14.112,2557,111.03,11.472
14.122,2558.1,110.91,11.468
14.132,2559.2,110.8,11.464
14.142,2560.3,110.68,11.461
14.152,2561.4,110.57,11.457
14.162,2562.5,110.45,11.453
14.172,2563.6,110.34,11.449
14.182,2564.7,110.23,11.446
14.192,2565.8,110.11,11.442
14.202,2566.9,110,11.438
14.212,2568,109.88,11.434
14.222,2569.1,109.77,11.43
14.232,2570.2,109.65,11.427
14.242,2571.3,109.54,11.423
14.252,2572.4,109.43,11.419
14.262,2573.5,109.31,11.415
14.272,2574.6,109.2,11.412
14.282,2575.7,109.08,11.408
14.292,2576.8,108.97,11.405
14.302,2577.8,108.86,11.401
14.312,2578.9,108.74,11.397
14.322,2580,108.63,11.393
14.332,2581.1,108.51,11.39
14.342,2582.2,108.4,11.386
14.352,2583.3,108.29,11.382
14.362,2584.3,108.17,11.379
14.372,2585.4,108.06,11.375
14.382,2586.5,107.94,11.372
14.392,2587.6,107.83,11.368
