# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
0,0,0,25.154,0,25.542,0,0,0,0,0,4.4353,28.61,-80.6,9.7881,80,0,0,0,18166,2663.3,13.153,0.028562,NaN,158.95,NaN,0.021642,1192333,639.11,0.0022342,0.68052,0.008162,0.4557,0.10476,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.3,83.323,80,0,NaN,28.95,999.68,348.84,0.01,0.0041955,0
0.01,0.0012577,0.25154,92.685,0.25542,94.115,2.22E-04,0,2.22E-04,0,0.044353,16.343,28.61,-80.6,9.7881,78.119,0,0,0,18166,2663.3,13.153,0.028562,NaN,158.95,NaN,0.021964,1210093,1884.8,0.0037693,0.67921,0.013369,0.45439,0.10476,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.28E-05,10.3,83.323,80,0,NaN,28.95,999.68,348.84,0.01,0.0059758,7.52E-04
0.02,0.0084085,1.1787,102.45,1.1969,104.03,0.0014826,0,0.0014826,0,0.20783,18.065,28.61,-80.6,9.7881,71.499,0,0,0,18160,2657.3,13.15,0.028558,NaN,158.93,NaN,0.022855,1259199,2064.3,0.014144,0.67572,0.046329,0.45089,0.10476,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.54E-04,10.3,83.323,80,0,NaN,28.95,999.67,348.84,0.01,0.0075378,0.016513
0.03,0.025319,2.2036,96.624,2.2376,98.114,0.0044645,0,0.0044645,0,0.38855,17.037,28.61,-80.6,9.7881,64.835,0,0,0,18152,2649.1,13.146,0.028552,NaN,158.9,NaN,0.024147,1330337,1956,0.036114,0.67096,0.10598,0.44612,0.10476,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.88E-04,10.3,83.323,80,0,NaN,28.95,999.67,348.84,0.01,0.0090773,0.057718
0.04,0.052189,3.1703,96.919,3.2192,98.414,0.0092022,0,0.0092022,0,0.55901,17.089,28.61,-80.6,9.7881,59.242,0,0,0,18142,2639.4,13.141,0.028545,NaN,158.87,NaN,0.025642,1412735,1960.4,0.068073,0.66584,0.17714,0.44099,0.10477,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.14E-04,10.3,83.323,80,0,NaN,28.95,999.67,348.84,0.01,0.010629,0.11947
0.05,0.088739,4.1399,97.212,4.2038,98.711,0.015647,0,0.015647,0,0.72998,17.141,28.61,-80.6,9.7881,54.293,0,0,0,18133,2629.9,13.137,0.028538,NaN,158.83,NaN,0.027359,1507326,1964.8,0.11132,0.66042,0.25446,0.43555,0.10477,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.41E-04,10.3,83.323,80,0,NaN,28.949,999.67,348.84,0.01,0.012133,0.20372
0.06,0.135,5.1125,97.504,5.1914,99.009,0.023804,0,0.023804,0,0.90147,17.193,28.61,-80.6,9.7881,50.255,0,0,0,18123,2620.4,13.132,0.028532,NaN,158.79,NaN,0.029539,1627415,1969.2,0.16564,0.65415,0.32482,0.42925,0.10478,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.68E-04,10.3,83.323,80,0,NaN,28.949,999.67,348.84,0.01,0.013676,0.31068
0.07,0.191,6.088,97.797,6.1819,99.306,0.033679,0,0.033679,0,1.0735,17.244,28.61,-80.6,9.7881,46.775,0,0,0,18114,2611,13.127,0.028525,NaN,158.76,NaN,0.031851,1754780,1973.6,0.23061,0.64811,0.38895,0.42319,0.10478,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.95E-04,10.3,83.323,80,0,NaN,28.949,999.67,348.84,0.01,0.015326,0.44055
0.08,0.25677,7.0664,98.089,7.1754,99.602,0.045276,0,0.045276,0,1.246,17.296,28.61,-80.6,9.7881,43.766,0,0,0,18104,2601.5,13.123,0.028518,NaN,158.72,NaN,0.03427,1888070,1978,0.3058,0.64237,0.44552,0.41742,0.10479,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.23E-04,10.3,83.323,80,0,NaN,28.949,999.66,348.84,0.01,0.016872,0.59353
0.09,0.33235,8.0478,98.381,8.1719,99.899,0.058601,0,0.058601,0,1.419,17.347,28.61,-80.6,9.7881,41.151,0,0,0,18095,2592.1,13.118,0.028512,NaN,158.69,NaN,0.036778,2026228,1982.5,0.3908,0.63694,0.49437,0.41197,0.1048,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001051,10.3,83.323,80,0,NaN,28.949,999.66,348.84,0.01,0.018399,0.76983
0.1,0.41774,9.032,98.673,9.1713,100.2,0.073659,0,0.073659,0,1.5926,17.399,28.61,-80.6,9.7881,38.866,0,0,0,18085,2582.6,13.113,0.028505,NaN,158.65,NaN,0.039359,2168427,1986.9,0.48526,0.63184,0.53598,0.40683,0.10481,0.1202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011795,10.3,83.323,80,0,NaN,28.948,999.66,348.84,0.01,0.02007,0.96964
0.11,0.513,10.019,98.965,10.174,100.49,0.090456,0,0.090456,0,1.7667,17.45,28.61,-80.6,9.7881,36.45,0,0,0,18076,2573.2,13.109,0.028499,NaN,158.62,NaN,0.041686,2296630,1991.3,0.58851,0.62759,0.57948,0.40255,0.10482,0.12023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013084,10.3,83.323,80,0,NaN,28.948,999.65,348.84,0.01,0.021755,1.1932
0.12,0.61814,11.009,99.256,11.179,100.79,0.10899,0,0.10899,0,1.9412,17.502,28.61,-80.6,9.7881,34.287,0,0,0,18066,2563.7,13.104,0.028492,NaN,158.58,NaN,0.044087,2428867,1995.7,0.70008,0.62352,0.61632,0.39844,0.10483,0.12025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014377,10.3,83.323,80,0,NaN,28.948,999.65,348.84,0.01,0.023327,1.4406
0.13,0.7332,12.002,99.548,12.187,101.08,0.12928,0,0.12928,0,2.1163,17.553,28.61,-80.6,9.7881,32.344,0,0,0,18057,2554.3,13.099,0.028485,NaN,158.55,NaN,0.04655,2564599,2000.1,0.81952,0.61963,0.64712,0.39451,0.10484,0.12028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015674,10.3,83.323,80,0,NaN,28.947,999.64,348.84,0.01,0.024954,1.7122
0.14,0.8582,12.998,99.839,13.199,101.38,0.15132,0,0.15132,0,2.2919,17.604,28.61,-80.6,9.7881,30.593,0,0,0,18047,2544.8,13.094,0.028479,NaN,158.51,NaN,0.04907,2703384,2004.6,0.94646,0.61592,0.67259,0.39076,0.10485,0.12031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016975,10.3,83.323,80,0,NaN,28.947,999.64,348.84,0.01,0.026994,2.0082
0.15,0.99318,13.997,100.11,14.213,101.65,0.17512,0,0.17512,0,2.4681,17.652,28.61,-80.6,9.7881,29.01,0,0,0,18038,2535.4,13.09,0.028472,NaN,158.47,NaN,0.051638,2844852,2008.6,1.0806,0.61238,0.69342,0.38718,0.10486,0.12035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018279,10.3,83.323,80,0,NaN,28.946,999.63,348.84,0.01,0.028799,2.3287
0.16,1.1382,14.999,100.24,15.23,101.79,0.20069,0,0.20069,0,2.6446,17.676,28.61,-80.6,9.7881,27.053,0,0,0,18028,2525.8,13.085,0.028465,NaN,158.44,NaN,0.053874,2968029,2010.2,1.2176,0.60948,0.71786,0.38423,0.10487,0.12038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019587,10.3,83.323,80,0,NaN,28.946,999.63,348.84,0.01,0.030861,2.6738
0.17,1.2932,16.001,100.36,16.248,101.91,0.22802,0,0.22802,0,2.8215,17.696,28.61,-80.6,9.7881,25.252,0,0,0,18019,2516.1,13.08,0.028458,NaN,158.4,NaN,0.056171,3094589,2011.3,1.3588,0.60666,0.73691,0.38137,0.10488,0.12041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020897,10.3,83.323,80,0,NaN,28.945,999.62,348.84,0.01,0.032599,3.0433
0.18,1.4582,17.006,100.48,17.268,102.03,0.25712,0,0.25712,0,2.9985,17.717,28.61,-80.6,9.7881,23.593,0,0,0,18009,2506.2,13.075,0.028451,NaN,158.36,NaN,0.058523,3224134,2012.5,1.5034,0.60392,0.75114,0.37858,0.10489,0.12045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0022208,10.3,83.323,80,0,NaN,28.945,999.61,348.84,0.01,0.035098,3.4372
0.19,1.6333,18.011,100.59,18.289,102.15,0.28799,0,0.28799,0,3.1758,17.737,28.61,-80.6,9.7881,22.062,0,0,0,17999,2496.3,13.07,0.028445,NaN,158.33,NaN,0.060923,3356342,2013.7,1.6509,0.60127,0.76113,0.37588,0.1049,0.12048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023521,10.3,83.323,80,0,NaN,28.944,999.61,348.84,0.01,0.037086,3.8556
0.2,1.8184,19.017,100.71,19.311,102.26,0.32063,0,0.32063,0,3.3532,17.758,28.61,-80.6,9.7881,20.647,0,0,0,17989,2486.5,13.065,0.028438,NaN,158.29,NaN,0.063367,3490938,2014.8,1.8008,0.59871,0.76742,0.37327,0.10492,0.12052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0024835,10.3,83.323,80,0,NaN,28.944,999.6,348.84,0.01,0.039352,4.2985
0.21,2.0136,20.025,100.83,20.334,102.38,0.35505,0,0.35505,0,3.5309,17.778,28.61,-80.6,9.7881,19.682,0,0,0,17979,2476.6,13.06,0.028431,NaN,158.25,NaN,0.066074,3.64E+06,2016,1.9615,0.59602,0.76885,0.37051,0.10493,0.12057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026151,10.3,83.323,80,0,NaN,28.943,999.59,348.84,0.01,0.042848,4.766
0.22,2.2189,21.033,100.94,21.358,102.5,0.39125,0,0.39125,0,3.7088,17.799,28.61,-80.6,9.7881,18.792,0,0,0,17969,2466.8,13.055,0.028424,NaN,158.21,NaN,0.068801,3790286,2017.2,2.1266,0.59345,0.76878,0.36788,0.10495,0.12062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0027468,10.3,83.323,80,0,NaN,28.942,999.58,348.84,0.01,0.04512,5.2582
0.23,2.4343,22.043,101.06,22.383,102.62,0.42923,0,0.42923,0,3.8868,17.819,28.61,-80.6,9.7881,17.969,0,0,0,17960,2456.9,13.051,0.028417,NaN,158.18,NaN,0.071547,3941543,2018.4,2.2959,0.59099,0.76749,0.36536,0.10497,0.12067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0028787,10.3,83.323,80,0,NaN,28.942,999.57,348.84,0.01,0.047174,5.7752
0.24,2.6598,23.054,101.17,23.41,102.73,0.46899,0,0.46899,0,4.0651,17.839,28.61,-80.6,9.7881,17.206,0,0,0,17950,2447.1,13.046,0.02841,NaN,158.14,NaN,0.07431,4093727,2019.5,2.4692,0.58864,0.7652,0.36294,0.10499,0.12072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0030107,10.3,83.323,80,0,NaN,28.941,999.56,348.84,0.01,0.048986,6.3171
0.25,2.8954,24.067,101.29,24.438,102.85,0.51053,0,0.51053,0,4.2436,17.86,28.61,-80.6,9.7881,16.497,0,0,0,17940,2437.2,13.041,0.028403,NaN,158.1,NaN,0.077088,4246760,2020.7,2.6457,0.58639,0.76186,0.36061,0.105,0.12077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0031429,10.3,83.323,80,0,NaN,28.94,999.55,348.84,0.01,0.051108,6.8839
0.26,3.1411,25.08,101.4,25.467,102.97,0.55386,0,0.55386,0,4.4223,17.88,28.61,-80.6,9.7881,16.257,0,0,0,17930,2427.4,13.036,0.028396,NaN,158.06,NaN,0.080168,4416363,2021.9,2.8477,0.58402,0.75825,0.35816,0.10503,0.12084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0032752,10.3,83.323,80,0,NaN,28.939,999.54,348.84,0.01,0.054221,7.4757
0.27,3.397,26.094,101.52,26.497,103.08,0.59898,0,0.59898,0,4.6011,17.9,28.61,-80.6,9.7881,16.034,0,0,0,17920,2417.5,13.031,0.028389,NaN,158.02,NaN,0.083251,4586211,2023.1,3.0564,0.58177,0.75467,0.35582,0.10505,0.1209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0034077,10.3,83.323,80,0,NaN,28.938,999.53,348.84,0.01,0.056444,8.0927
0.28,3.663,27.11,101.63,27.528,103.2,0.64589,0,0.64589,0,4.7802,17.92,28.61,-80.6,9.7881,15.827,0,0,0,17910,2407.6,13.026,0.028382,NaN,157.99,NaN,0.08634,4756295,2024.2,3.2719,0.57962,0.75113,0.35357,0.10507,0.12097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0035403,10.3,83.323,80,0,NaN,28.937,999.52,348.83,0.01,0.059667,8.7348
0.29,3.9392,28.127,101.74,28.561,103.31,0.69458,0,0.69458,0,4.9595,17.94,28.61,-80.6,9.7881,15.633,0,0,0,17900,2397.8,13.021,0.028375,NaN,157.95,NaN,0.089432,4926611,2025.4,3.4942,0.57756,0.74765,0.35143,0.1051,0.12104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0036731,10.3,83.323,80,0,NaN,28.936,999.51,348.83,0.01,0.061386,9.4022
0.3,4.2255,29.145,101.86,29.594,103.43,0.74508,0,0.74508,0,5.139,17.96,28.61,-80.6,9.7881,15.452,0,0,0,17891,2387.9,13.016,0.028368,NaN,157.91,NaN,0.092529,5097150,2026.6,3.7233,0.5756,0.74425,0.34937,0.10512,0.12111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003806,10.3,83.323,80,0,NaN,28.935,999.49,348.83,0.01,0.063247,10.095
0.31,4.5221,30.164,101.97,30.629,103.54,0.79737,0,0.79737,0,5.3187,17.98,28.61,-80.6,9.7881,15.069,0,0,0,17881,2378.1,13.011,0.028361,NaN,157.87,NaN,0.095463,5258737,2027.8,3.9395,0.57383,0.73981,0.3475,0.10515,0.12118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0039391,10.3,83.323,80,0,NaN,28.934,999.48,348.83,0.01,0.065303,10.813
0.32,4.8288,31.184,102.08,31.665,103.66,0.85145,0,0.85145,0,5.4985,18,28.61,-80.6,9.7881,14.709,0,0,0,17871,2368.2,13.006,0.028354,NaN,157.84,NaN,0.098404,5420717,2028.9,4.1601,0.57212,0.73524,0.34569,0.10517,0.12126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0040723,10.3,83.323,80,0,NaN,28.933,999.47,348.83,0.01,0.067218,11.557
0.33,5.1458,32.205,102.2,32.702,103.78,0.90734,0,0.90734,0,5.6786,18.02,28.61,-80.6,9.7881,14.369,0,0,0,17861,2358.4,13.001,0.028348,NaN,157.8,NaN,0.10135,5583073,2030.1,4.3851,0.57047,0.73059,0.34394,0.1052,0.12134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0042057,10.3,83.323,80,0,NaN,28.932,999.45,348.83,0.01,0.069035,12.326
0.34,5.4729,33.227,102.26,33.74,103.89,0.96502,0,0.96502,0,5.8589,18.32,28.61,-80.6,9.7881,14.048,0,0,0,17851,2348.5,12.996,0.028341,164.55,157.76,0.65935,0.10431,5745788,2031.6,4.6147,0.56889,0.7259,0.34225,0.10523,0.12141,3.9639,2.6138,2.09E-04,0,0,0,0,0,0.0043392,10.3,83.323,80,0,NaN,28.931,999.44,348.83,0.015,0.07127,13.121
0.355,5.9828,34.762,102.44,35.299,104.07,1.055,4.67E-08,1.055,2.54E-06,6.1335,18.313,28.61,-80.6,9.7881,13.528,0,0.11943,6.48E-06,17839,2336.2,12.989,0.028332,165.02,157.71,0.70936,0.10869,5987188,2033.8,4.9579,0.56665,0.71827,0.33985,0.10527,0.12154,3.7515,2.6609,1.03E-04,0,0,0,0,1.75E-05,0.0045398,10.3,83.323,79.999,-2.71E-07,NaN,28.93,999.42,348.83,0.0225,0.072992,14.362
0.3775,6.791,37.07,102.7,37.643,104.33,1.1976,2.98E-07,1.1976,1.43E-05,6.5458,18.349,28.61,-80.6,9.7881,12.6,0,0.3215,-2.50E-06,17820,2317.7,12.98,0.028319,165.9,157.64,0.80186,0.11511,6340838,2037.1,5.4548,0.56359,0.70456,0.33654,0.10533,0.12172,3.3849,2.7143,6.14E-05,0,0,0,0,1.13E-04,0.0048413,10.3,83.323,79.994,-3.53E-07,NaN,28.927,999.38,348.83,0.03375,0.074665,16.332
0.41125,8.1006,40.541,103.09,41.17,104.72,1.429,1.11E-06,1.429,4.46E-05,7.166,18.421,28.61,-80.6,9.7881,11.392,0,0.67565,-2.59E-05,17793,2290,12.966,0.028299,167.15,157.53,0.93391,0.12484,6876361,2042,6.2324,0.5594,0.68448,0.33193,0.10544,0.12203,2.9301,2.7359,4.15E-04,0,0,0,0,4.24E-04,0.0052949,10.3,83.323,79.978,2.05E-06,NaN,28.922,999.33,348.83,0.05,0.076389,19.534
0.46125,10.257,45.707,103.65,46.417,105.3,1.8104,3.37E-06,1.8104,1.07E-04,8.0899,18.559,28.61,-80.6,9.7881,9.9898,0,1.3117,-6.97E-05,17751,2248.7,12.945,0.02827,168.77,157.37,1.1071,0.1395,7683154,2047.9,7.4868,0.5539,0.6586,0.32576,0.10561,0.12253,2.4358,2.6958,8.81E-05,0,0,0,0,0.0012791,0.0059698,10.3,83.323,79.928,2.19E-05,NaN,28.915,999.24,348.82,0.05,0.078444,24.83
0.51125,12.672,50.901,104.21,51.694,105.88,2.2381,7.03E-06,2.2381,1.80E-04,9.0209,18.714,28.61,-80.6,9.7881,9.0475,0,2.0851,-1.01E-04,17702,2199.5,12.919,0.028236,169.99,157.18,1.2434,0.15452,8510152,2053.7,8.9179,0.5491,0.63941,0.32019,0.10581,0.1231,2.1243,2.6391,6.82E-05,0,0,0,0,0.0026343,0.0066485,10.3,83.323,79.844,5.03E-05,NaN,28.907,999.13,348.82,0.05,0.080149,30.793
0.56125,15.347,56.122,104.75,56.999,106.44,2.7126,1.23E-05,2.7126,2.59E-04,9.9612,18.943,28.61,-80.6,9.7881,8.2938,0,3.0056,-1.23E-04,17653,2150.2,12.894,0.028201,171.03,156.98,1.364,0.16974,9347436,2059.6,10.495,0.54495,0.62372,0.31517,0.10603,0.12375,1.8871,2.5693,2.52E-04,0,0,0,0,0.0045361,0.0073309,10.3,83.323,79.717,8.70E-05,NaN,28.898,999.02,348.81,0.05,0.083004,37.435
0.61125,18.285,61.369,105.25,62.333,107.02,3.2345,1.93E-05,3.2345,3.42E-04,10.917,19.387,28.61,-80.6,9.7881,7.3272,0,4.068,-1.10E-04,17604,2100.9,12.868,0.028166,172.49,156.79,1.5239,0.18477,10174513,2065.5,12.081,0.54142,0.60593,0.31071,0.10627,0.12444,1.5985,2.4295,7.62E-05,0,0,0,0,0.007013,0.0080171,10.3,83.323,79.541,1.38E-04,NaN,28.888,998.89,348.8,0.05,0.084961,44.764
0.66125,21.485,66.64,105.7,67.695,107.6,3.8049,2.83E-05,3.8049,4.25E-04,11.905,20.126,28.61,-80.6,9.7881,6.026,0,5.2017,3.28E-05,17554,2051.6,12.842,0.028132,174.66,156.59,1.7541,0.19949,10983728,2071.3,13.591,0.53843,0.58493,0.30674,0.10652,0.12517,1.2382,2.1617,-4.38E-04,0,0,0,0,0.0098374,0.0087071,10.3,83.323,79.31,1.68E-04,NaN,28.877,998.75,348.8,0.05,0.087053,52.792
0.71125,24.949,71.934,106.15,73.086,108.17,4.4256,3.94E-05,4.4256,5.10E-04,12.926,20.764,28.61,-80.6,9.7881,5.4782,0,6.4166,1.90E-04,17505,2002.3,12.816,0.028097,175.67,156.4,1.8718,0.21505,11839427,2077.2,15.525,0.53571,0.57502,0.30289,0.10681,0.12601,1.0965,2.0391,-3.16E-04,0,0,0,0,0.012882,0.009401,10.3,83.323,79.02,1.68E-04,NaN,28.865,998.6,348.79,0.05,0.08902,61.528
0.76125,28.679,77.249,106.57,78.504,108.73,5.0981,5.28E-05,5.0981,5.93E-04,13.982,21.566,28.61,-80.6,9.7881,4.9357,0,7.7487,1.47E-04,17456,1953.1,12.79,0.028063,176.74,156.2,1.9943,0.23072,12700929,2083.1,17.587,0.53336,0.56599,0.29932,0.10712,0.12692,0.96185,1.902,1.94E-04,0,0,0,0,0.016321,0.010099,10.3,83.323,78.666,1.66E-04,NaN,28.853,998.45,348.78,0.05,0.090734,70.981
0.81125,32.675,82.583,106.91,83.951,109.3,5.8247,6.87E-05,5.8247,6.75E-04,15.089,22.76,28.61,-80.6,9.788,3.9461,0,9.0958,4.62E-04,17406,1903.8,12.764,0.028028,178.83,156,2.2165,0.24596,13538211,2089,19.531,0.53141,0.55319,0.2961,0.10745,0.12786,0.7307,1.5999,3.02E-04,0,0,0,0,0.019789,0.0108,10.3,83.323,78.244,1.77E-04,NaN,28.839,998.27,348.78,0.05,0.092354,81.161
0.86125,36.937,87.933,107.2,89.424,109.87,6.6081,8.72E-05,6.6081,7.56E-04,16.26,24.097,28.61,-80.6,9.788,3.0715,0,10.344,7.83E-04,17357,1854.5,12.738,0.027993,180.87,155.8,2.4348,0.26141,14386783,2094.8,21.668,0.52973,0.54342,0.29305,0.1078,0.12888,0.54237,1.2983,-1.42E-04,0,0,0,0,0.022659,0.011506,10.3,83.323,77.758,1.69E-04,NaN,28.825,998.09,348.77,0.05,0.094163,92.077
0.91125,41.468,93.298,107.46,94.924,110.43,7.4518,1.09E-04,7.4518,8.34E-04,17.496,25.475,28.61,-80.6,9.788,2.4832,0,11.536,0.0010763,17308,1805.2,12.711,0.027959,182.38,155.59,2.6007,0.27731,1.53E+07,2100.7,24.111,0.52829,0.53745,0.29011,0.10819,0.13,0.42419,1.0784,-7.49E-05,0,0,0,0,0.025045,0.012215,10.3,83.323,77.211,1.54E-04,NaN,28.81,997.9,348.76,0.05,0.095876,103.74
0.96125,46.268,98.672,107.62,100.45,111,8.3592,1.33E-04,8.3592,9.10E-04,18.813,27.201,28.61,-80.6,9.788,1.5339,0,12.482,0.0020364,17259,1756,12.685,0.027924,185.03,155.39,2.8776,0.29281,16110697,2106.6,26.543,0.52714,0.53077,0.28741,0.10859,0.13115,0.24769,0.68668,-1.04E-04,0,0,0,0,0.026299,0.012928,10.3,83.323,76.609,1.49E-04,NaN,28.793,997.69,348.75,0.05,0.097513,116.15
1.0113,51.336,104.05,107.76,106,111.56,9.3345,1.60E-04,9.3345,9.84E-04,20.212,28.87,28.61,-80.6,9.788,0.96127,0,13.211,0.0037546,17209,1706.7,12.658,0.027889,186.8,155.19,3.069,0.30889,16993142,2112.4,29.358,0.52619,0.52764,0.28476,0.10902,0.1324,0.14983,0.43307,-4.61E-04,0,0,0,0,0.026476,0.013645,10.3,83.323,75.966,1.41E-04,NaN,28.776,997.47,348.74,0.05,0.10135,129.31
1.0613,56.673,109.44,107.79,111.57,112.12,10.382,1.91E-04,10.382,0.0010547,21.707,30.873,28.61,-80.6,9.788,0.065281,0,-13.416,0.059265,17160,1657.4,12.631,0.027855,189.82,154.98,3.3825,0.32435,17840984,2118.3,32.231,0.52549,0.52549,0.28235,0.10946,0.13368,0.0095995,0.057263,-3.77E-04,0,0,0,0,-0.024764,0.014365,10.3,83.323,75.297,1.75E-04,NaN,28.758,997.24,348.73,0.05,0.10331,143.24
1.1113,62.28,114.83,107.4,117.17,112.19,11.507,2.26E-04,11.507,0.0011234,23.291,32.439,28.61,-80.6,9.788,0.39084,0,-13.222,0.010117,17111,1608.1,12.604,0.02782,188.72,154.77,3.2962,0.34087,18746529,2116.2,35.569,0.52496,0.5252,0.27989,0.10996,0.13511,0.058775,0.21518,1.76E-05,0,0,0,0,-0.021781,0.015089,10.3,83.323,74.63,2.98E-04,NaN,28.739,997,348.71,0.05,0.10512,157.94
1.1613,68.156,120.2,106.5,122.76,111.8,12.713,2.64E-04,12.713,0.0011909,24.958,34.017,28.61,-80.6,9.7879,0.91514,0,-12.65,0.0042443,17061,1558.6,12.577,0.027785,187.04,154.57,3.1529,0.35703,19631594,2106.3,39.066,0.52464,0.52596,0.2776,0.11047,0.13657,0.14248,0.46774,4.05E-04,0,0,0,0,-0.018175,0.015814,10.3,83.323,73.981,4.47E-04,NaN,28.719,996.75,348.7,0.05,0.10693,173.35
1.2113,74.298,125.52,105.59,128.33,111.4,14.004,3.07E-04,14.004,0.0012577,26.704,35.526,28.61,-80.6,9.7879,1.3652,0,-11.573,0.0025361,17011,1508.8,12.549,0.02775,185.69,154.35,3.0423,0.37312,20513193,2096.5,42.774,0.52451,0.5274,0.27541,0.111,0.1381,0.21879,0.67957,9.18E-06,0,0,0,0,-0.013928,0.016536,10.3,83.323,73.374,5.31E-04,NaN,28.699,996.49,348.69,0.05,0.10887,189.39
