# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
0,0,0,25.393,0,25.393,0,0,0,0,0,0,28.61,-80.6,9.7884,90,0,0,0,18166,2663.3,13.153,0.028562,NaN,158.95,NaN,0.0059244,332098,639.11,0,0.81944,0,0.59469,0.10474,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.3,83.323,90,0,NaN,23.957,995.71,345.82,0.01,0.0043066,0
0.01,0.0012697,0.25393,93.967,0.25393,93.967,0,0,0,0,0,0,28.61,-80.6,9.7884,82.975,0,0,0,18166,2663.3,13.153,0.028562,NaN,158.95,NaN,0.0060041,336567,1884.8,7.37E-05,0.81767,0.0035156,0.59293,0.10474,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25E-05,10.3,83.323,90,0,NaN,23.957,995.71,345.82,0.01,0.010904,7.53E-04
0.02,0.0085085,1.1939,103.88,1.1939,103.88,0,0,0,0,0,0,28.61,-80.6,9.7884,60.058,0,0,0,18160,2657.3,13.15,0.028558,NaN,158.93,NaN,0.0069168,387733,2064.3,0.0055272,0.79944,0.19861,0.5747,0.10474,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.53E-04,10.3,83.323,90,0,NaN,23.957,995.7,345.82,0.01,0.012411,0.016641
0.03,0.025643,2.2331,97.966,2.2331,97.966,0,0,0,0,0,0,28.61,-80.6,9.7884,43.031,0,0,0,18152,2649.1,13.146,0.028552,NaN,158.9,NaN,0.0088341,495206,1956,0.025047,0.76986,0.55175,0.54511,0.10474,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.86E-04,10.3,83.323,90,0,NaN,23.957,995.7,345.82,0.01,0.013935,0.058223
0.04,0.052875,3.2133,98.266,3.2133,98.266,0,0,0,0,0,0,28.61,-80.6,9.7884,33.125,0,0,0,18142,2639.4,13.141,0.028545,NaN,158.87,NaN,0.011095,621941,1960.4,0.05448,0.74431,0.76086,0.51955,0.10474,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.11E-04,10.3,83.323,90,0,NaN,23.956,995.7,345.82,0.01,0.015414,0.12055
0.05,0.089923,4.1964,98.564,4.1964,98.564,0,0,0,0,0,0,28.61,-80.6,9.7884,26.679,0,0,0,18133,2629.9,13.137,0.028538,NaN,158.83,NaN,0.013581,761276,1964.8,0.091999,0.72313,0.85756,0.49836,0.10475,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.37E-04,10.3,83.323,90,0,NaN,23.956,995.7,345.82,0.01,0.017226,0.20559
0.06,0.13682,5.1825,98.862,5.1825,98.862,0,0,0,0,0,0,28.61,-80.6,9.7884,22.18,0,0,0,18123,2620.4,13.132,0.028532,NaN,158.79,NaN,0.016184,907199,1969.2,0.13595,0.70578,0.89235,0.481,0.10475,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64E-04,10.3,83.323,90,0,NaN,23.956,995.7,345.82,0.01,0.018816,0.31357
0.07,0.19359,6.1716,99.16,6.1716,99.16,0,0,0,0,0,0,28.61,-80.6,9.7884,18.933,0,0,0,18114,2611,13.127,0.028525,NaN,158.76,NaN,0.018867,1057613,1973.6,0.18534,0.69135,0.89511,0.46655,0.10475,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.90E-04,10.3,83.323,90,0,NaN,23.956,995.69,345.82,0.01,0.020398,0.44468
0.08,0.26026,7.1636,99.457,7.1636,99.457,0,0,0,0,0,0,28.61,-80.6,9.7884,16.494,0,0,0,18104,2601.5,13.123,0.028518,NaN,158.72,NaN,0.021604,1211035,1978,0.23955,0.67914,0.88235,0.45432,0.10476,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.17E-04,10.3,83.323,90,0,NaN,23.956,995.69,345.82,0.01,0.02206,0.59913
0.09,0.33687,8.1587,99.756,8.1587,99.756,0,0,0,0,0,0,28.61,-80.6,9.7884,14.601,0,0,0,18095,2592.1,13.118,0.028512,NaN,158.69,NaN,0.02438,1366624,1982.5,0.29677,0.66865,0.85839,0.44381,0.10477,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010446,10.3,83.323,90,0,NaN,23.955,995.69,345.82,0.01,0.023614,0.77713
