# Time ,Altitude ,Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch ,Position North of launch ,Lateral distance ,Lateral direction ,Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude ,Longitude ,Gravitational acceleration (m/s²),Angle of attack ,Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass ,Propellant mass ,Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location,CG location (cm),Stability margin calibers ,Mach number ,Reynolds number ,Thrust ,Drag force ,Drag coefficient ,Axial drag coefficient ,Friction drag coefficient ,Pressure drag coefficient ,Base drag coefficient ,Normal force coefficient ,Pitch moment coefficient ,Yaw moment coefficient ,Side force coefficient ,Roll moment coefficient ,Roll forcing coefficient ,Roll damping coefficient ,Pitch damping coefficient ,Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) ,Lateral orientation (azimuth) ,Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step ,Computation time ,Dynamic Pressure (mbar)
0.00,0.00,0.00,25.39,0.00,25.39,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18166.00,2663.30,13.15,0.03,0.00,158.95,0.00,0.00,0.00,639.11,0.00,1.82,1.82,1.60,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.77,999.33,354.79,0.01,0.01,0.00
0.01,0.00,0.25,93.97,0.25,93.97,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18166.00,2663.30,13.15,0.03,0.00,158.95,0.00,0.00,37844.00,1884.80,0.00,1.26,1.26,1.03,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.77,999.33,354.79,0.01,0.02,0.00
0.02,0.01,1.19,103.88,1.19,103.88,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18160.00,2657.30,13.15,0.03,0.00,158.93,0.00,0.00,177923.00,2064.30,0.01,0.91,0.91,0.69,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.77,999.33,354.79,0.01,0.02,0.02
0.03,0.03,2.23,97.97,2.23,97.97,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18152.00,2649.10,13.15,0.03,0.00,158.90,0.00,0.01,332804.00,1956.00,0.02,0.82,0.82,0.59,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.77,999.33,354.79,0.01,0.02,0.06
0.04,0.05,3.21,98.27,3.21,98.27,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18142.00,2639.40,13.14,0.03,0.00,158.87,0.00,0.01,478873.00,1960.40,0.04,0.77,0.77,0.55,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.33,354.79,0.01,0.03,0.12
0.05,0.09,4.20,98.57,4.20,98.57,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18133.00,2629.90,13.14,0.03,0.00,158.83,0.00,0.01,625388.00,1964.80,0.06,0.74,0.74,0.52,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.33,354.79,0.01,0.03,0.20
0.06,0.14,5.18,98.86,5.18,98.86,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18123.00,2620.40,13.13,0.03,0.00,158.79,0.00,0.01,772347.00,1969.20,0.09,0.72,0.72,0.50,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.33,354.79,0.01,0.04,0.30
0.07,0.19,6.17,99.16,6.17,99.16,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18114.00,2611.00,13.13,0.03,0.00,158.76,0.00,0.02,919751.00,1973.60,0.12,0.70,0.70,0.48,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.32,354.79,0.01,0.05,0.43
0.08,0.26,7.16,99.46,7.16,99.46,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18104.00,2601.50,13.12,0.03,0.00,158.72,0.00,0.02,1067599.00,1978.00,0.16,0.69,0.69,0.47,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.32,354.79,0.01,0.05,0.57
0.09,0.34,8.16,99.76,8.16,99.76,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18095.00,2592.10,13.12,0.03,0.00,158.69,0.00,0.02,1215892.00,1982.50,0.21,0.68,0.68,0.45,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.31,354.79,0.01,0.05,0.74
0.10,0.42,9.16,100.06,9.16,100.06,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18085.00,2582.60,13.11,0.03,0.00,158.65,0.00,0.03,1364629.00,1986.90,0.26,0.67,0.67,0.44,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.31,354.79,0.01,0.06,0.94
0.11,0.52,10.16,100.36,10.16,100.36,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18076.00,2573.20,13.11,0.03,0.00,158.62,0.00,0.03,1513810.00,1991.30,0.32,0.66,0.66,0.44,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.30,354.79,0.01,0.06,1.15
0.12,0.62,11.15,100.65,11.15,100.65,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18066.00,2563.80,13.10,0.03,0.00,158.58,0.00,0.03,1661107.00,1995.40,0.38,0.65,0.65,0.43,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.30,354.79,0.01,0.06,1.39
0.13,0.73,12.05,100.91,12.05,100.91,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18058.00,2554.90,13.10,0.03,0.00,158.55,0.00,0.03,1795719.00,1999.20,0.44,0.65,0.65,0.42,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.29,354.79,0.01,0.07,1.62
0.14,0.83,12.89,101.15,12.89,101.15,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18049.00,2546.70,13.10,0.03,0.00,158.52,0.00,0.04,1920558.00,2002.80,0.50,0.64,0.64,0.42,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.29,354.79,0.01,0.07,1.85
0.14,0.94,13.67,101.38,13.67,101.38,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18042.00,2539.10,13.09,0.03,0.00,158.49,0.00,0.04,2037559.00,2006.10,0.55,0.64,0.64,0.41,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.28,354.79,0.01,0.07,2.09
0.15,1.04,14.41,101.57,14.41,101.57,0.00,0.00,0.00,0.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18035.00,2532.00,13.09,0.03,189.74,158.46,3.04,0.04,2148087.00,2009.20,0.61,0.63,0.63,0.41,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.28,354.79,0.01,0.08,2.32
0.16,1.20,15.53,101.71,15.53,101.71,0.00,0.00,0.00,-180.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18026.00,2523.20,13.08,0.03,189.74,158.43,3.04,0.04,2314226.00,2010.90,0.70,0.63,0.63,0.40,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.27,354.79,0.02,0.11,2.69
0.18,1.47,17.20,101.91,17.20,101.91,0.00,0.00,0.00,-180.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,18012.00,2509.80,13.08,0.03,189.74,158.38,3.05,0.05,2563842.00,2013.30,0.85,0.62,0.62,0.39,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.25,354.79,0.02,0.11,3.30
0.20,1.93,19.72,102.21,19.72,102.21,0.00,0.00,0.00,-180.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17992.00,2489.50,13.07,0.03,189.75,158.30,3.05,0.06,2939139.00,2016.90,1.10,0.61,0.61,0.38,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.76,999.23,354.78,0.04,0.12,4.34
0.24,2.73,23.51,102.66,23.51,102.66,0.00,0.00,0.00,-180.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17962.00,2459.10,13.05,0.03,189.75,158.18,3.06,0.07,3504037.00,2022.00,1.54,0.60,0.60,0.37,0.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.75,999.18,354.78,0.05,0.12,6.17
0.29,4.03,28.66,103.26,28.66,103.26,0.00,0.00,0.00,-180.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17919.00,2416.20,13.03,0.03,189.75,158.02,3.08,0.08,4270587.00,2027.90,2.24,0.59,0.59,0.36,0.11,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.74,999.11,354.78,0.05,0.13,9.17
0.34,5.59,33.83,103.85,33.83,103.85,0.00,0.00,0.00,-180.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17870.00,2366.90,13.01,0.03,189.76,157.83,3.10,0.10,5041492.00,2033.80,3.07,0.58,0.58,0.35,0.11,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.74,999.02,354.77,0.05,0.13,12.77
0.39,7.42,39.04,104.44,39.04,104.44,0.00,0.00,0.00,-180.00,0.00,0.00,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17820.00,2317.60,12.98,0.03,189.77,157.64,3.12,0.11,5816705.00,2039.70,4.03,0.57,0.57,0.34,0.11,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,83.32,90.00,0.00,0.00,38.73,998.92,354.77,0.05,0.13,17.01
0.44,9.50,44.27,105.03,44.27,105.03,0.00,0.00,0.00,-180.00,0.00,0.01,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17771.00,2268.40,12.96,0.03,189.78,157.45,3.14,0.12,6596176.00,2045.50,5.12,0.56,0.56,0.33,0.11,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,0.00,0.00,38.72,998.80,354.76,0.05,0.14,21.87
0.49,11.84,49.54,105.61,49.54,105.61,0.00,0.00,0.00,-180.00,0.00,0.01,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17722.00,2219.10,12.93,0.03,189.79,157.26,3.16,0.14,7379858.00,2051.40,6.34,0.56,0.56,0.33,0.11,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,0.00,0.00,38.70,998.67,354.75,0.05,0.14,27.37
0.54,14.45,54.83,106.19,54.83,106.19,0.00,0.00,0.00,-180.00,0.00,0.01,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17672.00,2169.80,12.90,0.03,189.80,157.06,3.18,0.15,8167700.00,2057.30,7.70,0.55,0.55,0.32,0.11,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,0.00,0.00,38.69,998.52,354.75,0.05,0.14,33.53
0.59,17.33,60.15,106.76,60.15,106.76,0.00,0.00,0.00,-180.00,0.00,0.01,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17623.00,2120.50,12.88,0.03,189.82,156.87,3.20,0.17,8959651.00,2063.10,9.20,0.55,0.55,0.32,0.11,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,0.00,0.00,38.68,998.36,354.74,0.05,0.15,40.35
0.64,20.47,65.50,107.33,65.50,107.33,0.00,0.00,0.00,-180.00,0.00,0.01,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17574.00,2071.30,12.85,0.03,189.83,156.67,3.22,0.18,9755658.00,2069.00,10.83,0.54,0.54,0.31,0.11,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,178.64,0.00,38.66,998.18,354.73,0.05,0.15,47.84
0.69,23.88,70.88,107.89,70.88,107.89,0.00,0.00,0.00,-180.00,0.00,0.01,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17525.00,2022.00,12.83,0.03,189.85,156.47,3.24,0.20,10555666.00,2074.90,12.61,0.54,0.54,0.31,0.11,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,179.23,0.00,38.64,997.99,354.72,0.05,0.16,56.01
0.74,27.56,76.28,108.45,76.28,108.45,0.00,0.00,0.00,180.00,0.00,0.01,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17475.00,1972.70,12.80,0.03,189.87,156.28,3.26,0.22,11400000.00,2080.70,14.53,0.54,0.54,0.30,0.11,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,179.98,0.00,38.63,997.78,354.71,0.05,0.16,64.87
0.79,31.51,81.71,109.00,81.71,109.00,0.00,0.00,0.00,180.00,0.00,0.01,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17426.00,1923.40,12.78,0.03,189.89,156.08,3.28,0.23,12167461.00,2086.60,16.60,0.54,0.54,0.30,0.11,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,-178.62,0.00,38.61,997.56,354.69,0.05,0.16,74.43
0.84,35.73,87.18,109.55,87.18,109.55,0.00,0.00,0.00,-180.00,0.00,0.01,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17377.00,1874.10,12.75,0.03,189.91,155.88,3.30,0.25,12979129.00,2092.50,18.82,0.53,0.53,0.30,0.11,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,-177.95,0.00,38.58,997.32,354.68,0.05,0.17,84.70
0.89,40.22,92.66,110.09,92.66,110.09,0.00,0.00,0.00,-179.99,0.01,0.01,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,17328.00,1824.90,12.72,0.03,189.93,155.67,3.33,0.26,13794563.00,2098.40,21.19,0.53,0.53,0.29,0.11,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,-178.50,0.00,38.56,997.07,354.67,0.05,0.17,95.68
0.94,45.00,98.18,110.62,98.18,110.62,0.00,0.00,0.00,-179.98,0.01,0.01,28.61,-80.60,9.79,0.00,0.00,0.01,0.00,17278.00,1775.60,12.70,0.03,189.96,155.47,3.35,0.28,14613699.00,2104.20,23.72,0.53,0.53,0.29,0.11,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,-178.96,0.00,38.54,996.80,354.65,0.05,0.17,107.39
0.99,50.04,103.72,111.15,103.72,111.15,0.00,0.00,0.00,-179.97,0.01,0.02,28.61,-80.60,9.79,0.00,0.00,0.01,0.00,17229.00,1726.30,12.67,0.03,189.99,155.27,3.37,0.29,15436471.00,2110.10,26.41,0.53,0.53,0.29,0.11,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,-179.57,0.00,38.51,996.52,354.64,0.05,0.17,119.83
1.04,55.37,109.29,111.68,109.29,111.68,0.00,0.00,0.00,-179.97,0.01,0.02,28.61,-80.60,9.79,0.00,0.00,0.01,0.00,17180.00,1677.00,12.64,0.03,190.02,155.06,3.39,0.31,16262810.00,2116.00,29.26,0.53,0.53,0.29,0.11,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,179.85,0.00,38.48,996.22,354.62,0.05,0.18,133.01
1.09,60.97,114.88,112.02,114.88,112.02,0.00,0.00,0.00,-179.96,0.01,0.02,28.61,-80.60,9.79,0.00,0.00,0.01,0.00,17130.00,1627.80,12.62,0.03,190.05,154.86,3.42,0.32,17092647.00,2118.90,32.28,0.53,0.53,0.28,0.11,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.30,83.32,90.00,179.32,0.00,38.46,995.90,354.60,0.05,0.18,146.95
1.14,66.86,120.49,111.68,120.49,111.68,0.00,0.00,0.00,-179.96,0.01,0.02,28.61,-80.60,9.79,0.00,0.00,0.01,0.00,17081.00,1578.30,12.59,0.03,190.08,154.65,3.44,0.34,17924656.00,2110.30,35.47,0.53,0.53,0.28,0.11,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,90.00,178.93,0.00,38.43,995.57,354.58,0.05,0.19,161.61
1.19,73.02,126.09,111.26,126.09,111.26,0.00,0.00,0.00,-179.97,0.01,0.02,28.61,-80.60,9.79,0.00,0.00,0.01,0.00,17031.00,1528.60,12.56,0.03,190.11,154.44,3.46,0.36,18753700.00,2100.40,38.80,0.53,0.53,0.28,0.11,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,90.00,178.65,0.00,38.39,995.23,354.57,0.05,0.20,176.92
1.24,79.47,131.66,110.83,131.66,110.83,0.00,0.00,0.00,-179.98,0.01,0.02,28.61,-80.60,9.79,0.00,0.00,0.01,0.00,16981.00,1478.80,12.53,0.03,190.15,154.23,3.49,0.37,19579157.00,2090.50,42.29,0.53,0.53,0.28,0.11,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,90.00,178.58,0.00,38.36,994.86,354.55,0.05,0.20,192.86
1.29,86.19,137.21,110.39,137.21,110.39,0.00,0.00,0.00,180.00,0.01,0.03,28.61,-80.60,9.79,0.00,0.00,0.01,0.00,16932.00,1429.00,12.50,0.03,190.19,154.01,3.51,0.39,20400926.00,2080.70,45.92,0.53,0.53,0.28,0.11,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,90.00,178.63,0.00,38.33,994.49,354.52,0.05,0.20,209.41
1.34,93.19,142.74,109.93,142.74,109.93,-0.01,0.00,0.01,179.98,0.01,0.03,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,16882.00,1379.20,12.48,0.03,190.23,153.80,3.54,0.40,21218907.00,2070.80,49.69,0.53,0.53,0.27,0.11,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,90.00,178.76,0.00,38.29,994.09,354.50,0.05,0.21,226.56
1.39,100.46,148.24,109.47,148.24,109.47,-0.01,0.00,0.01,179.95,0.02,0.03,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,16832.00,1329.40,12.45,0.03,190.26,153.58,3.56,0.42,22032999.00,2060.90,53.62,0.53,0.53,0.27,0.11,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,89.99,179.03,0.00,38.25,993.68,354.48,0.05,0.21,244.30
1.44,108.01,153.73,108.91,153.73,108.91,-0.01,0.00,0.01,179.93,0.02,0.03,28.61,-80.60,9.79,0.00,0.00,-0.01,0.00,16782.00,1279.60,12.42,0.03,190.30,153.36,3.59,0.43,22843100.00,2049.60,57.69,0.53,0.53,0.27,0.11,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,89.99,179.43,0.00,38.22,993.26,354.46,0.05,0.21,262.62
1.49,115.83,159.18,108.14,159.18,108.14,-0.01,0.00,0.01,179.91,0.02,0.04,28.61,-80.60,9.79,0.00,0.00,-0.01,0.00,16733.00,1230.50,12.39,0.03,190.35,153.15,3.61,0.45,23648447.00,2035.30,61.91,0.53,0.53,0.27,0.11,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,89.99,179.88,0.00,38.18,992.82,354.43,0.05,0.22,281.50
1.54,123.93,164.59,107.36,164.59,107.36,-0.01,0.00,0.01,179.89,0.02,0.04,28.61,-80.60,9.79,0.00,0.00,-0.01,0.00,16685.00,1182.40,12.36,0.03,190.39,152.94,3.64,0.46,24447525.00,2020.80,66.26,0.53,0.53,0.27,0.11,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,89.99,-179.59,0.00,38.14,992.36,354.41,0.05,0.22,300.88
1.59,132.29,169.97,106.55,169.97,106.55,-0.01,0.00,0.01,179.88,0.02,0.04,28.61,-80.60,9.79,0.00,0.00,-0.01,0.00,16637.00,1134.60,12.34,0.03,190.43,152.73,3.66,0.48,25200000.00,2006.40,70.75,0.53,0.53,0.26,0.12,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,89.99,-178.97,0.00,38.09,991.89,354.38,0.05,0.22,320.74
1.64,140.92,175.30,105.74,175.30,105.74,-0.01,0.00,0.01,179.88,0.02,0.04,28.61,-80.60,9.79,0.00,0.00,-0.01,0.00,16589.00,1086.70,12.31,0.03,190.48,152.51,3.69,0.49,26026258.00,1991.90,75.37,0.53,0.53,0.26,0.12,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,89.99,-178.63,0.00,38.05,991.41,354.36,0.05,0.24,341.07
1.69,149.82,180.60,104.91,180.60,104.91,-0.01,0.00,0.01,179.89,0.03,0.04,28.61,-80.60,9.79,0.00,0.00,-0.01,0.00,16541.00,1038.80,12.28,0.03,190.52,152.30,3.71,0.51,26805696.00,1977.50,80.13,0.53,0.53,0.26,0.12,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,89.99,-178.47,0.00,38.00,990.91,354.33,0.05,0.24,361.85
1.74,158.98,185.85,104.07,185.85,104.07,-0.01,0.00,0.01,179.91,0.03,0.04,28.61,-80.60,9.79,0.00,0.00,-0.01,0.00,16494.00,990.95,12.25,0.03,190.58,152.08,3.74,0.52,27578374.00,1963.00,85.01,0.53,0.53,0.26,0.12,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,89.99,-178.33,0.00,37.96,990.39,354.30,0.05,0.25,383.06
1.79,168.40,191.06,103.16,191.06,103.16,-0.02,0.00,0.02,179.94,0.03,0.04,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,16446.00,943.48,12.22,0.03,190.63,151.87,3.76,0.54,28344157.00,1947.50,90.03,0.53,0.53,0.26,0.12,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,10.30,83.32,89.99,-178.30,0.00,37.91,989.86,354.27,0.05,0.25,404.68
1.84,178.09,196.22,102.18,196.22,102.18,-0.02,0.00,0.02,179.96,0.03,0.05,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,16401.00,898.15,12.20,0.03,190.70,151.66,3.79,0.55,29102400.00,1931.50,95.17,0.54,0.54,0.26,0.12,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,10.30,83.32,89.99,-178.46,0.00,37.86,989.32,354.24,0.05,0.26,426.68
1.89,188.02,201.34,101.18,201.34,101.18,-0.02,0.00,0.02,179.99,0.04,0.05,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,16357.00,854.57,12.17,0.03,190.76,151.46,3.82,0.57,29852682.00,1915.60,100.43,0.54,0.54,0.26,0.12,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,10.30,83.32,89.99,-178.71,0.00,37.81,988.76,354.21,0.05,0.26,449.03
1.94,198.22,206.40,100.17,206.40,100.17,-0.02,0.00,0.02,-179.98,0.04,0.05,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,16314.00,810.98,12.15,0.03,190.83,151.26,3.84,0.58,30594887.00,1899.60,105.80,0.54,0.54,0.25,0.12,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,10.30,83.32,89.99,-179.03,0.00,37.76,988.19,354.18,0.05,0.27,471.70
1.99,208.66,211.41,99.15,211.41,99.15,-0.02,0.00,0.02,-179.95,0.04,0.05,28.61,-80.60,9.79,0.00,0.00,0.00,0.00,16270.00,767.40,12.12,0.03,190.90,151.05,3.87,0.60,31328913.00,1883.60,111.29,0.54,0.54,0.25,0.12,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,10.30,83.32,89.99,-179.16,0.00,37.70,987.60,354.15,0.05,0.27,494.68
2.04,219.36,216.37,98.11,216.37,98.11,-0.02,0.00,0.02,-179.92,0.04,0.05,28.61,-80.60,9.79,0.00,0.00,0.01,0.00,16226.00,723.81,12.09,0.03,190.97,150.85,3.90,0.61,32054662.00,1867.70,116.89,0.54,0.54,0.25,0.12,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,10.30,83.32,89.99,-179.24,0.00,37.65,987.00,354.11,0.05,0.27,517.95
2.09,230.30,221.28,97.06,221.28,97.06,-0.03,0.00,0.03,-179.90,0.05,0.05,28.61,-80.60,9.79,0.00,0.00,0.01,0.00,16183.00,680.23,12.07,0.03,191.05,150.65,3.92,0.62,32772035.00,1851.70,122.60,0.54,0.54,0.25,0.12,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,10.30,83.32,89.99,-179.09,0.00,37.59,986.38,354.08,0.05,0.28,541.47
2.14,241.48,226.14,96.00,226.14,96.00,-0.03,0.00,0.03,-179.87,0.05,0.05,28.61,-80.60,9.79,0.00,0.00,0.01,0.00,16139.00,636.64,12.04,0.03,191.13,150.44,3.95,0.64,33480935.00,1835.80,128.41,0.55,0.55,0.25,0.12,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,10.30,83.32,89.99,-178.83,0.00,37.54,985.75,354.05,0.05,0.28,565.24
